pid,trial,visualSize,scenario,direction,congruency,time,distance
5,0,130,two-hand,expand,1,4.873835,0.260173
5,1,110,two-hand,expand,1,1.96635,0.2324104
5,2,90,two-hand,expand,0,3.122833,0.2214155
5,3,160,two-hand,expand,0,1.89017,0.2815473
5,4,120,two-hand,expand,1,1.492334,0.2429187
5,5,150,two-hand,expand,1,2.19383,0.2849626
5,6,100,two-hand,expand,1,2.746074,0.2384397
5,7,80,two-hand,expand,0,3.162574,0.2086987
5,8,160,two-hand,expand,0,3.928968,0.2673746
5,9,80,two-hand,expand,0,2.167838,0.2210638
5,10,170,two-hand,expand,1,5.202974,0.3106734
5,11,150,two-hand,expand,1,1.618286,0.2909104
5,12,110,two-hand,expand,1,2.369112,0.2763265
5,13,130,two-hand,expand,0,2.550912,0.2719966
5,14,170,two-hand,expand,0,3.219882,0.3004734
5,15,90,two-hand,expand,1,1.909718,0.2314932
5,16,100,two-hand,expand,1,2.29998,0.2473412
5,17,90,two-hand,expand,0,2.45304,0.2347195
5,18,140,two-hand,expand,0,4.108535,0.2301975
5,19,140,two-hand,expand,0,2.773763,0.2610473
5,20,140,two-hand,expand,1,3.051828,0.2816781
5,21,140,two-hand,expand,1,1.350628,0.2912957
5,22,120,two-hand,expand,1,2.467145,0.2634839
5,23,90,two-hand,expand,0,2.07706,0.2336652
5,24,150,two-hand,expand,0,3.301368,0.2354448
5,25,130,two-hand,expand,1,1.227784,0.2426611
5,26,180,two-hand,expand,0,2.174546,0.260414
5,27,150,two-hand,expand,1,2.285382,0.2830246
5,28,80,two-hand,expand,0,2.007229,0.2214085
5,29,120,two-hand,expand,1,1.909985,0.2558587
5,30,120,two-hand,expand,1,1.339193,0.2802235
5,31,160,two-hand,expand,1,2.007576,0.3493655
5,32,100,two-hand,expand,0,2.161163,0.2342259
5,33,110,two-hand,expand,1,1.617991,0.2608462
5,34,80,two-hand,expand,0,1.548774,0.2131722
5,35,110,two-hand,expand,1,1.592153,0.2498288
5,36,100,two-hand,expand,1,1.771338,0.2252306
5,37,170,two-hand,expand,0,3.610099,0.3024302
5,38,130,two-hand,expand,1,0.8690915,0.2708862
5,39,160,two-hand,expand,1,2.479384,0.3151523
5,40,180,two-hand,expand,1,2.746082,0.3726154
5,41,140,two-hand,expand,1,1.492119,0.3359837
5,42,90,two-hand,expand,0,1.659584,0.2215676
5,43,130,two-hand,expand,1,1.353321,0.247687
5,44,100,two-hand,expand,0,1.521037,0.2447971
5,45,110,two-hand,expand,1,1.839764,0.240843
5,46,120,two-hand,expand,1,4.096454,0.2276156
5,47,180,two-hand,expand,0,3.456083,0.275172
5,48,170,two-hand,expand,0,4.291704,0.2803523
5,49,80,two-hand,expand,0,2.022195,0.2008185
5,50,180,two-hand,expand,1,1.910316,0.3102517
5,51,150,two-hand,expand,1,6.698042,0.2903161
5,52,160,two-hand,expand,1,2.089961,0.2722996
5,53,180,two-hand,expand,1,1.478938,0.3440686
5,54,170,two-hand,expand,1,1.367069,0.3439977
5,55,90,one-hand,expand,1,9.76199,
5,56,80,one-hand,expand,0,1.57606,
5,57,90,one-hand,expand,0,1.938207,
5,58,130,one-hand,expand,1,2.203624,
5,59,180,one-hand,expand,0,1.354293,
5,60,80,one-hand,expand,0,1.924197,
5,61,120,one-hand,expand,1,1.68742,
5,62,100,one-hand,expand,0,2.077147,
5,63,150,one-hand,expand,1,1.603981,
5,64,160,one-hand,expand,1,1.074667,
5,65,180,one-hand,expand,1,1.283503,
5,66,170,one-hand,expand,1,1.129814,
5,67,110,one-hand,expand,0,1.436182,
5,68,120,one-hand,expand,0,2.021858,
5,69,160,one-hand,expand,1,1.451302,
5,70,110,one-hand,expand,1,2.647531,
5,71,180,one-hand,expand,0,2.146236,
5,72,160,one-hand,expand,1,1.64321,
5,73,170,one-hand,expand,0,3.327695,
5,74,90,one-hand,expand,1,1.714234,
5,75,180,one-hand,expand,0,0.9908874,
5,76,120,one-hand,expand,1,0.9365634,
5,77,150,one-hand,expand,1,1.173405,
5,78,170,one-hand,expand,1,1.046963,
5,79,140,one-hand,expand,1,1.505824,
5,80,120,one-hand,expand,1,4.165104,
5,81,150,one-hand,expand,0,1.519322,
5,82,100,one-hand,expand,0,1.169348,
5,83,100,one-hand,expand,0,1.255208,
5,84,140,one-hand,expand,1,1.060465,
5,85,80,one-hand,expand,1,4.666711,
5,86,90,one-hand,expand,1,2.675456,
5,87,130,one-hand,expand,0,3.135837,
5,88,120,one-hand,expand,1,3.970184,
5,89,140,one-hand,expand,0,3.984489,
5,90,80,one-hand,expand,1,2.048828,
5,91,90,one-hand,expand,0,2.870226,
5,92,180,one-hand,expand,0,4.570371,
5,93,100,one-hand,expand,1,3.858901,
5,94,130,one-hand,expand,1,1.451372,
5,95,100,one-hand,expand,1,1.269429,
5,96,110,one-hand,expand,1,1.951613,
5,97,160,one-hand,expand,0,1.659281,
5,98,110,one-hand,expand,1,1.923627,
5,99,170,one-hand,expand,1,1.840383,
5,100,80,one-hand,expand,0,1.534009,
5,101,140,one-hand,expand,1,1.450264,
5,102,150,one-hand,expand,1,1.436325,
5,103,170,one-hand,expand,1,1.630976,
5,104,140,one-hand,expand,1,1.365241,
5,105,110,one-hand,expand,0,2.82937,
5,106,130,one-hand,expand,0,1.450582,
5,107,160,one-hand,expand,1,1.993338,
5,108,150,one-hand,expand,1,1.936892,
5,109,130,one-hand,expand,1,1.214246,
