pid,trial,shape,rendering,congruency
11,0,convex,fast,
11,1,small,fast,
11,2,small,slow,
11,3,small,slow,
11,4,concave,fast,
11,5,slope,slow,
11,6,slope,slow,
11,7,medium,fast,
11,8,slope,static,
11,9,small,fast,
11,10,medium,fast,
11,11,slope,fast,
11,12,slope,static,
11,13,medium,static,
11,14,concave,slow,
11,15,small,static,
11,16,medium,slow,
11,17,medium,fast,
11,18,small,fast,
11,19,large,slow,
11,20,medium,static,
11,21,medium,static,
11,22,large,static,
11,23,convex,static,
11,24,large,slow,
11,25,slope,slow,
11,26,large,fast,
11,27,medium,slow,
11,28,convex,static,
11,29,convex,slow,
11,30,large,slow,
11,31,large,static,
11,32,medium,slow,
11,33,medium,static,
11,34,small,slow,
11,35,large,slow,
11,36,convex,slow,
11,37,concave,slow,
11,38,convex,static,
11,39,slope,fast,
11,40,small,slow,
11,41,convex,slow,
11,42,small,fast,
11,43,convex,static,
11,44,concave,fast,
11,45,large,fast,
11,46,concave,slow,
11,47,small,fast,
11,48,medium,static,
11,49,convex,fast,
11,50,concave,static,
11,51,small,static,
11,52,large,static,
11,53,convex,slow,
11,54,large,fast,
11,55,medium,slow,
11,56,small,static,
11,57,large,static,
11,58,small,static,
11,59,slope,fast,
11,60,small,slow,
11,61,slope,static,
11,62,convex,static,
11,63,concave,static,
11,64,slope,static,
11,65,convex,fast,
11,66,concave,fast,
11,67,convex,slow,
11,68,medium,fast,
11,69,large,slow,
11,70,concave,slow,
11,71,concave,slow,
11,72,slope,static,
11,73,large,fast,
11,74,large,static,
11,75,convex,fast,
11,76,medium,fast,
11,77,concave,static,
11,78,slope,slow,
11,79,slope,fast,
11,80,slope,slow,
11,81,large,fast,
11,82,slope,fast,
11,83,concave,fast,
11,84,concave,fast,
11,85,small,static,
11,86,convex,fast,
11,87,medium,slow,
11,88,concave,static,
11,89,concave,static,
