pid,trial,physicalVelocity,visualMultiplier,congruent
14,0,1.0,0.5,
14,1,1.5,0.75,
14,2,1.5,0.75,
14,3,0.0,0.5,
14,4,0.0,1.5,
14,5,1.5,1.5,
14,6,-1.0,0.5,
14,7,0.0,1.0,
14,8,0.0,1.25,
14,9,0.0,0.75,
14,10,0.5,1.0,
14,11,1.0,1.0,
14,12,-0.5,0.5,
14,13,-0.5,0.75,
14,14,1.5,1.0,
14,15,1.5,1.5,
14,16,-1.0,1.5,
14,17,-1.0,0.5,
14,18,0.5,0.5,
14,19,0.0,1.0,
14,20,1.0,1.25,
14,21,-1.5,1.5,
14,22,0.0,1.0,
14,23,-1.5,0.75,
14,24,-0.5,1.0,
14,25,0.5,1.0,
14,26,-0.5,0.75,
14,27,-1.5,1.0,
14,28,-0.5,1.5,
14,29,-1.0,1.25,
14,30,-0.5,1.0,
14,31,1.5,1.25,
14,32,0.0,0.5,
14,33,-1.5,0.5,
14,34,-1.5,0.5,
14,35,1.5,1.25,
14,36,0.5,0.75,
14,37,-0.5,1.5,
14,38,0.5,0.75,
14,39,0.5,0.5,
14,40,-0.5,1.25,
14,41,-1.0,1.0,
14,42,-1.5,1.5,
14,43,-1.0,1.0,
14,44,1.5,1.0,
14,45,-1.0,0.75,
14,46,0.0,1.5,
14,47,1.0,1.25,
14,48,1.5,1.0,
14,49,-0.5,1.25,
14,50,1.0,0.75,
14,51,1.0,0.75,
14,52,-1.0,1.5,
14,53,1.5,0.5,
14,54,-1.0,0.75,
14,55,-0.5,0.75,
14,56,0.5,1.5,
14,57,-1.5,0.5,
14,58,1.5,0.5,
14,59,1.5,0.5,
14,60,0.0,0.5,
14,61,0.5,1.25,
14,62,0.5,1.25,
14,63,0.5,1.5,
14,64,-1.5,1.25,
14,65,1.0,1.5,
14,66,0.5,1.0,
14,67,-1.0,0.5,
14,68,1.0,0.5,
14,69,-1.0,1.5,
14,70,0.5,1.25,
14,71,1.0,1.5,
14,72,-1.5,0.75,
14,73,0.0,0.75,
14,74,0.5,0.75,
14,75,-1.5,1.0,
14,76,0.0,1.5,
14,77,1.0,1.5,
14,78,1.0,1.25,
14,79,-0.5,1.5,
14,80,-1.0,0.75,
14,81,-0.5,1.0,
14,82,0.5,0.5,
14,83,-1.0,1.0,
14,84,-1.5,0.75,
14,85,0.0,1.25,
14,86,0.0,1.25,
14,87,1.5,1.25,
14,88,-1.5,1.25,
14,89,1.0,1.0,
14,90,-0.5,0.5,
14,91,-1.0,1.25,
14,92,-1.0,1.25,
14,93,1.0,0.5,
14,94,1.0,0.75,
14,95,-0.5,0.5,
14,96,-1.5,1.0,
14,97,0.5,1.5,
14,98,1.5,1.5,
14,99,-1.5,1.5,
14,100,1.5,0.75,
14,101,1.0,1.0,
14,102,-0.5,1.25,
14,103,-1.5,1.25,
14,104,0.0,0.75,
