pid,trial,physical,visual,direction,congruency,binary
11,0,20,200,grow,1,
11,1,10,50,grow,1,
11,2,20,100,grow,1,
11,3,30,300,grow,0,
11,4,10,400,grow,1,
11,5,20,75,grow,1,
11,6,40,400,grow,0,
11,7,40,400,grow,0,
11,8,40,300,grow,1,
11,9,40,100,grow,1,
11,10,30,400,grow,1,
11,11,20,300,grow,1,
11,12,10,25,grow,0,
11,13,10,75,grow,1,
11,14,20,75,grow,1,
11,15,40,200,grow,0,
11,16,10,50,grow,1,
11,17,40,25,grow,1,
11,18,20,25,grow,1,
11,19,10,50,grow,1,
11,20,10,200,grow,1,
11,21,20,300,grow,1,
11,22,10,300,grow,1,
11,23,40,50,grow,0,
11,24,20,25,grow,1,
11,25,30,50,grow,1,
11,26,20,300,grow,0,
11,27,30,25,grow,1,
11,28,30,100,grow,1,
11,29,40,200,grow,0,
11,30,40,300,grow,1,
11,31,40,400,grow,0,
11,32,20,75,grow,1,
11,33,10,25,grow,1,
11,34,40,200,grow,1,
11,35,20,50,grow,1,
11,36,20,300,grow,1,
11,37,20,50,grow,1,
11,38,40,100,grow,1,
11,39,30,300,grow,0,
11,40,20,100,grow,1,
11,41,30,50,grow,1,
11,42,40,75,grow,1,
11,43,40,200,grow,1,
11,44,30,75,grow,1,
11,45,10,200,grow,1,
11,46,40,75,grow,1,
11,47,10,200,grow,1,
11,48,30,50,grow,1,
11,49,20,25,grow,1,
11,50,20,200,grow,1,
11,51,40,50,grow,1,
11,52,10,50,grow,1,
11,53,10,400,grow,1,
11,54,20,200,grow,1,
11,55,40,50,grow,1,
11,56,40,25,grow,1,
11,57,40,200,grow,1,
11,58,10,100,grow,1,
11,59,20,400,grow,1,
11,60,10,100,grow,1,
11,61,20,300,grow,1,
11,62,40,25,grow,1,
11,63,10,75,grow,1,
11,64,20,400,grow,0,
11,65,10,75,grow,1,
11,66,10,200,grow,1,
11,67,40,75,grow,1,
11,68,20,200,grow,1,
11,69,30,400,grow,0,
11,70,30,400,grow,0,
11,71,30,200,grow,1,
11,72,10,100,grow,1,
11,73,40,100,grow,1,
11,74,30,100,grow,1,
11,75,10,25,grow,1,
11,76,30,50,grow,1,
11,77,30,200,grow,0,
11,78,30,100,grow,1,
11,79,30,25,grow,1,
11,80,40,400,grow,1,
11,81,20,100,grow,1,
11,82,30,75,grow,1,
11,83,10,400,grow,1,
11,84,40,300,grow,1,
11,85,40,100,grow,1,
11,86,10,400,grow,1,
11,87,40,50,grow,1,
11,88,20,50,grow,1,
11,89,10,100,grow,1,
11,90,10,50,grow,1,
11,91,20,400,grow,1,
11,92,10,200,grow,1,
11,93,30,100,grow,1,
11,94,10,300,grow,1,
11,95,40,50,grow,1,
11,96,20,75,grow,1,
11,97,30,400,grow,0,
11,98,20,25,grow,1,
11,99,40,25,grow,1,
11,100,20,400,grow,1,
11,101,20,100,grow,1,
11,102,10,400,grow,0,
11,103,40,300,grow,0,
11,104,30,75,grow,1,
11,105,30,75,grow,1,
11,106,30,200,grow,1,
11,107,40,75,grow,1,
11,108,10,75,grow,1,
11,109,30,400,grow,1,
11,110,30,75,grow,1,
11,111,30,100,grow,1,
11,112,20,75,grow,1,
11,113,30,50,grow,1,
11,114,40,75,grow,0,
11,115,20,50,grow,1,
11,116,30,25,grow,1,
11,117,20,25,grow,1,
11,118,40,400,grow,1,
11,119,10,300,grow,1,
11,120,10,300,grow,1,
11,121,10,75,grow,1,
11,122,10,25,grow,1,
11,123,10,300,grow,1,
11,124,20,200,grow,1,
11,125,40,100,grow,1,
11,126,30,200,grow,1,
11,127,20,100,grow,1,
11,128,10,25,grow,1,
11,129,30,300,grow,1,
11,130,40,300,grow,1,
11,131,10,100,grow,0,
11,132,20,50,grow,1,
11,133,30,25,grow,1,
11,134,30,300,grow,1,
11,135,30,200,grow,1,
11,136,20,400,grow,1,
11,137,40,25,grow,1,
11,138,30,25,grow,1,
11,139,30,300,grow,1,
11,56,30,25,shrink,1,
11,57,30,25,shrink,1,
11,58,40,25,shrink,1,
11,59,10,25,shrink,1,
11,60,10,75,shrink,1,
11,61,20,100,shrink,1,
11,62,10,75,shrink,1,
11,63,30,100,shrink,1,
11,64,40,75,shrink,1,
11,65,30,75,shrink,1,
11,66,20,300,shrink,0,
11,67,40,200,shrink,1,
11,68,40,300,shrink,0,
11,69,30,25,shrink,0,
11,70,40,200,shrink,1,
11,71,20,200,shrink,1,
11,72,40,300,shrink,1,
11,73,40,75,shrink,1,
11,74,10,200,shrink,1,
11,75,40,25,shrink,1,
11,76,20,100,shrink,1,
11,77,20,50,shrink,1,
11,78,20,100,shrink,1,
11,79,20,75,shrink,1,
11,80,20,400,shrink,1,
11,81,10,25,shrink,1,
11,82,40,100,shrink,0,
11,83,10,25,shrink,1,
11,84,10,400,shrink,0,
11,85,10,50,shrink,1,
11,86,40,400,shrink,0,
11,87,10,100,shrink,1,
11,88,10,25,shrink,1,
11,89,30,50,shrink,1,
11,90,20,75,shrink,1,
11,91,30,200,shrink,1,
11,92,20,200,shrink,1,
11,93,20,400,shrink,1,
11,94,20,300,shrink,1,
11,95,20,50,shrink,1,
11,96,40,50,shrink,1,
11,97,10,100,shrink,1,
11,98,40,75,shrink,1,
11,99,40,400,shrink,1,
11,100,30,300,shrink,1,
11,101,30,100,shrink,1,
11,102,30,75,shrink,1,
11,103,10,75,shrink,1,
11,104,10,400,shrink,1,
11,105,40,50,shrink,1,
11,106,10,50,shrink,1,
11,107,20,400,shrink,0,
11,108,30,50,shrink,1,
11,109,40,100,shrink,1,
11,110,10,100,shrink,1,
11,111,10,100,shrink,1,
11,112,40,50,shrink,1,
11,113,20,50,shrink,1,
11,114,30,300,shrink,1,
11,115,10,400,shrink,0,
11,116,10,50,shrink,1,
11,117,30,25,shrink,1,
11,118,20,200,shrink,0,
