pid,trial,physical,visual,congruency
10,0,slope,concave,
10,1,small,large,
10,2,large,convex,
10,3,small,medium,
10,4,concave,medium,
10,5,slope,concave,
10,6,small,large,
10,7,convex,large,
10,8,concave,large,
10,9,concave,convex,
10,10,large,concave,
10,11,concave,slope,
10,12,convex,slope,
10,13,medium,convex,
10,14,medium,medium,
10,15,convex,medium,
10,16,slope,slope,
10,17,slope,concave,
10,18,convex,slope,
10,19,slope,large,
10,20,small,small,
10,21,small,small,
10,22,concave,concave,
10,23,small,large,
10,24,medium,small,
10,25,convex,slope,
10,26,large,large,
10,27,convex,small,
10,28,convex,large,
10,29,concave,concave,
10,30,slope,medium,
10,31,large,large,
10,32,medium,medium,
10,33,medium,small,
10,34,small,medium,
10,35,small,slope,
10,36,slope,convex,
10,37,small,concave,
10,38,small,medium,
10,39,convex,slope,
10,40,medium,concave,
10,41,small,small,
10,42,small,concave,
10,43,slope,slope,
10,44,medium,large,
10,45,large,large,
10,46,slope,small,
10,47,medium,slope,
10,48,convex,concave,
10,49,slope,small,
10,50,concave,large,
10,51,concave,large,
10,52,concave,large,
10,53,medium,convex,
10,54,slope,slope,
10,55,medium,medium,
10,56,slope,slope,
10,57,medium,large,
10,58,concave,concave,
10,59,convex,small,
10,60,large,slope,
10,61,medium,concave,
10,62,slope,large,
10,63,small,slope,
10,64,convex,large,
10,65,slope,slope,
10,66,slope,large,
10,67,large,slope,
10,68,small,convex,
10,69,small,large,
10,70,convex,medium,
10,71,medium,concave,
10,72,concave,small,
10,73,concave,small,
10,74,small,slope,
10,75,concave,convex,
10,76,medium,small,
10,77,slope,small,
10,78,convex,convex,
10,79,medium,concave,
10,80,concave,convex,
10,81,concave,slope,
10,82,large,medium,
10,83,medium,small,
10,84,convex,concave,
10,85,convex,medium,
10,86,small,convex,
10,87,medium,large,
10,88,small,convex,
10,89,medium,convex,
10,90,medium,small,
10,91,concave,medium,
10,92,large,medium,
10,93,convex,slope,
10,94,large,convex,
10,95,large,concave,
10,96,concave,slope,
10,97,convex,concave,
10,98,convex,convex,
10,99,large,medium,
10,100,small,small,
10,101,medium,medium,
10,102,medium,convex,
10,103,slope,convex,
10,104,concave,medium,
10,105,large,concave,
10,106,large,small,
10,107,small,slope,
10,108,large,medium,
10,109,concave,concave,
10,110,medium,medium,
10,111,slope,medium,
10,112,small,concave,
10,113,concave,medium,
10,114,slope,convex,
10,115,large,concave,
10,116,large,large,
10,117,concave,small,
10,118,medium,slope,
10,119,large,small,
10,120,small,small,
10,121,convex,concave,
10,122,large,concave,
10,123,convex,convex,
10,124,large,small,
10,125,concave,convex,
10,126,slope,large,
10,127,convex,small,
10,128,concave,slope,
10,129,large,convex,
10,130,large,small,
10,131,medium,large,
10,132,convex,convex,
10,133,concave,large,
10,134,slope,concave,
10,135,concave,small,
10,136,large,slope,
10,137,large,medium,
10,138,slope,medium,
10,139,small,medium,
10,140,convex,large,
10,141,slope,small,
10,142,large,convex,
10,143,slope,large,
10,144,small,convex,
10,145,small,convex,
10,146,convex,convex,
10,147,concave,slope,
10,148,large,slope,
10,149,medium,concave,
10,150,large,slope,
10,151,slope,concave,
10,152,medium,convex,
10,153,small,concave,
10,154,concave,concave,
10,155,slope,convex,
10,156,small,concave,
10,157,convex,concave,
10,158,convex,medium,
10,159,concave,small,
10,160,large,small,
10,161,slope,medium,
10,162,convex,small,
10,163,medium,large,
10,164,small,large,
10,165,large,large,
10,166,concave,convex,
10,167,convex,medium,
10,168,large,convex,
10,169,medium,slope,
10,170,small,medium,
10,171,concave,medium,
10,172,medium,slope,
10,173,convex,large,
10,174,slope,medium,
10,175,small,slope,
10,176,convex,small,
10,177,slope,convex,
10,178,slope,small,
10,179,medium,slope,
