pid,trial,physical,visual,rendering,scenario,congruency
4,0,80,75,dynamic,one-hand,
4,1,80,75,dynamic,one-hand,
4,2,60,100,dynamic,one-hand,
4,3,60,50,static,one-hand,
4,4,80,100,dynamic,one-hand,
4,5,80,100,static,one-hand,
4,6,60,200,static,one-hand,
4,7,80,200,static,one-hand,
4,8,80,150,static,one-hand,
4,9,60,75,static,one-hand,
4,10,80,50,dynamic,one-hand,
4,11,60,50,dynamic,one-hand,
4,12,60,75,dynamic,one-hand,
4,13,60,50,dynamic,one-hand,
4,14,80,150,static,one-hand,
4,15,60,200,static,one-hand,
4,16,60,150,dynamic,one-hand,
4,17,60,100,dynamic,one-hand,
4,18,80,50,static,one-hand,
4,19,60,75,dynamic,one-hand,
4,20,60,75,static,one-hand,
4,21,60,100,dynamic,one-hand,
4,22,60,150,static,one-hand,
4,23,80,75,static,one-hand,
4,24,60,100,dynamic,one-hand,
4,25,80,75,dynamic,one-hand,
4,26,80,150,static,one-hand,
4,27,80,50,static,one-hand,
4,28,60,150,static,one-hand,
4,29,60,200,dynamic,one-hand,
4,30,80,200,dynamic,one-hand,
4,31,60,100,dynamic,one-hand,
4,32,80,100,static,one-hand,
4,33,80,50,static,one-hand,
4,34,60,50,static,one-hand,
4,35,80,200,dynamic,one-hand,
4,36,60,100,static,one-hand,
4,37,80,150,static,one-hand,
4,38,60,150,dynamic,one-hand,
4,39,60,200,static,one-hand,
4,40,60,200,static,one-hand,
4,41,60,150,static,one-hand,
4,42,80,200,static,one-hand,
4,43,60,150,static,one-hand,
4,44,80,100,dynamic,one-hand,
4,45,60,100,static,one-hand,
4,46,60,50,static,one-hand,
4,47,60,200,dynamic,one-hand,
4,48,80,200,dynamic,one-hand,
4,49,80,200,dynamic,one-hand,
4,50,80,100,static,one-hand,
4,51,60,75,dynamic,one-hand,
4,52,60,75,dynamic,one-hand,
4,53,80,75,static,one-hand,
4,54,80,150,dynamic,one-hand,
4,55,60,50,dynamic,one-hand,
4,56,60,50,dynamic,one-hand,
4,57,80,75,dynamic,one-hand,
4,58,60,100,static,one-hand,
4,59,80,200,static,one-hand,
4,60,80,50,dynamic,one-hand,
4,61,80,100,dynamic,one-hand,
4,62,80,200,static,one-hand,
4,63,60,150,dynamic,one-hand,
4,64,80,150,dynamic,one-hand,
4,65,80,50,static,one-hand,
4,66,60,100,static,one-hand,
4,67,80,150,dynamic,one-hand,
4,68,80,75,dynamic,one-hand,
4,69,60,200,dynamic,one-hand,
4,70,80,200,dynamic,one-hand,
4,71,80,100,static,one-hand,
4,72,60,150,dynamic,one-hand,
4,73,60,50,static,one-hand,
4,74,80,75,static,one-hand,
4,75,80,150,dynamic,one-hand,
4,76,60,200,dynamic,one-hand,
4,77,80,200,static,one-hand,
4,78,80,50,static,one-hand,
4,79,80,50,dynamic,one-hand,
4,80,80,100,static,one-hand,
4,81,80,75,static,one-hand,
4,82,60,75,static,one-hand,
4,83,60,50,static,one-hand,
4,84,60,200,dynamic,one-hand,
4,85,60,150,dynamic,one-hand,
4,86,80,100,dynamic,one-hand,
4,87,60,75,static,one-hand,
4,88,80,100,dynamic,one-hand,
4,89,60,150,static,one-hand,
4,90,60,75,dynamic,one-hand,
4,91,60,75,static,one-hand,
4,92,60,100,static,one-hand,
4,93,60,200,static,one-hand,
4,94,80,150,static,one-hand,
