pid,trial,physical,visual,congruency
12,0,medium,large,
12,1,large,convex,
12,2,convex,convex,
12,3,concave,slope,
12,4,small,convex,
12,5,large,medium,
12,6,small,convex,
12,7,slope,slope,
12,8,medium,small,
12,9,concave,convex,
12,10,concave,large,
12,11,convex,large,
12,12,concave,small,
12,13,medium,convex,
12,14,medium,small,
12,15,small,convex,
12,16,slope,concave,
12,17,concave,large,
12,18,convex,concave,
12,19,medium,slope,
12,20,medium,slope,
12,21,convex,medium,
12,22,convex,small,
12,23,concave,large,
12,24,small,medium,
12,25,slope,large,
12,26,concave,medium,
12,27,slope,small,
12,28,medium,small,
12,29,large,large,
12,30,slope,large,
12,31,medium,slope,
12,32,large,small,
12,33,medium,convex,
12,34,large,small,
12,35,large,concave,
12,36,slope,large,
12,37,large,slope,
12,38,slope,small,
12,39,large,slope,
12,40,slope,concave,
12,41,convex,concave,
12,42,concave,convex,
12,43,small,concave,
12,44,concave,convex,
12,45,convex,slope,
12,46,small,slope,
12,47,medium,medium,
12,48,slope,small,
12,49,small,large,
12,50,slope,large,
12,51,convex,large,
12,52,convex,slope,
12,53,concave,small,
12,54,convex,medium,
12,55,convex,small,
12,56,concave,concave,
12,57,small,small,
12,58,large,medium,
12,59,large,convex,
12,60,convex,large,
12,61,medium,large,
12,62,concave,slope,
12,63,concave,slope,
12,64,large,small,
12,65,slope,slope,
12,66,small,concave,
12,67,small,small,
12,68,slope,convex,
12,69,concave,convex,
12,70,large,small,
12,71,large,medium,
12,72,concave,small,
12,73,slope,convex,
12,74,small,slope,
12,75,medium,convex,
12,76,large,slope,
12,77,small,large,
12,78,small,small,
12,79,small,small,
12,80,concave,concave,
12,81,large,slope,
12,82,concave,convex,
12,83,concave,small,
12,84,slope,large,
12,85,medium,small,
12,86,convex,concave,
12,87,medium,concave,
12,88,concave,small,
12,89,convex,small,
12,90,medium,medium,
12,91,small,convex,
12,92,slope,small,
12,93,concave,concave,
12,94,convex,slope,
12,95,concave,large,
12,96,large,medium,
12,97,medium,medium,
12,98,convex,medium,
12,99,concave,medium,
12,100,large,convex,
12,101,small,medium,
12,102,large,concave,
12,103,small,slope,
12,104,slope,slope,
12,105,slope,medium,
12,106,concave,medium,
12,107,slope,medium,
12,108,concave,slope,
12,109,large,small,
12,110,large,large,
12,111,convex,slope,
12,112,convex,small,
12,113,concave,medium,
12,114,slope,convex,
12,115,medium,concave,
12,116,concave,medium,
12,117,convex,convex,
12,118,slope,concave,
12,119,small,convex,
12,120,medium,medium,
12,121,large,convex,
12,122,concave,large,
12,123,medium,concave,
12,124,slope,convex,
12,125,small,medium,
12,126,convex,large,
12,127,medium,large,
12,128,large,concave,
12,129,concave,slope,
12,130,slope,concave,
12,131,small,small,
12,132,slope,slope,
12,133,medium,large,
12,134,small,large,
12,135,small,large,
12,136,convex,convex,
12,137,large,large,
12,138,slope,slope,
12,139,medium,large,
12,140,medium,slope,
12,141,small,medium,
12,142,medium,slope,
12,143,convex,medium,
12,144,small,concave,
12,145,convex,convex,
12,146,convex,large,
12,147,large,concave,
12,148,large,concave,
12,149,slope,convex,
12,150,slope,medium,
12,151,slope,small,
12,152,convex,medium,
12,153,convex,slope,
12,154,medium,concave,
12,155,slope,concave,
12,156,convex,concave,
12,157,medium,convex,
12,158,convex,small,
12,159,concave,concave,
12,160,small,concave,
12,161,small,medium,
12,162,slope,medium,
12,163,concave,concave,
12,164,large,slope,
12,165,small,slope,
12,166,convex,convex,
12,167,medium,small,
12,168,large,large,
12,169,small,concave,
12,170,large,large,
12,171,small,slope,
12,172,large,convex,
12,173,large,medium,
12,174,medium,medium,
12,175,medium,convex,
12,176,convex,concave,
12,177,small,large,
12,178,medium,concave,
12,179,slope,medium,
