pid,trial,physicalVelocity,visualMultiplier,congruent
13,0,0.5,0.5,
13,1,-0.5,1.25,
13,2,0.5,0.75,
13,3,-0.5,0.75,
13,4,0.0,1.5,
13,5,-1.0,0.75,
13,6,-1.0,1.25,
13,7,1.5,1.0,
13,8,0.5,0.5,
13,9,0.5,1.0,
13,10,0.0,0.75,
13,11,1.0,0.75,
13,12,-0.5,1.5,
13,13,0.0,1.0,
13,14,-1.0,0.5,
13,15,-1.5,1.25,
13,16,1.5,0.5,
13,17,1.0,1.0,
13,18,-1.5,0.75,
13,19,-1.5,0.5,
13,20,0.0,0.5,
13,21,-1.5,1.25,
13,22,0.5,1.0,
13,23,-0.5,0.5,
13,24,-0.5,0.5,
13,25,-1.0,1.25,
13,26,1.5,1.25,
13,27,0.5,1.5,
13,28,-0.5,1.0,
13,29,-1.5,0.5,
13,30,0.0,1.25,
13,31,0.5,1.5,
13,32,1.0,0.75,
13,33,0.0,0.75,
13,34,0.0,1.0,
13,35,1.0,0.75,
13,36,1.5,0.75,
13,37,-1.0,1.0,
13,38,-0.5,1.25,
13,39,-1.0,1.5,
13,40,-0.5,0.75,
13,41,-1.5,1.25,
13,42,1.5,1.5,
13,43,-1.0,0.75,
13,44,0.0,0.5,
13,45,-1.0,1.0,
13,46,-1.0,1.25,
13,47,1.5,1.5,
13,48,0.0,0.75,
13,49,-1.0,1.5,
13,50,-1.5,0.75,
13,51,-0.5,1.25,
13,52,-1.5,1.0,
13,53,-1.0,1.0,
13,54,-1.5,1.0,
13,55,1.0,1.0,
13,56,1.0,1.5,
13,57,1.5,0.75,
13,58,1.5,0.75,
13,59,0.0,1.5,
13,60,-0.5,1.0,
13,61,0.0,1.0,
13,62,1.5,0.5,
13,63,1.5,1.25,
13,64,-1.0,0.5,
13,65,-1.5,1.5,
13,66,-0.5,0.75,
13,67,1.0,1.25,
13,68,-0.5,1.5,
13,69,0.5,0.5,
13,70,1.0,1.25,
13,71,1.0,0.5,
13,72,-1.5,1.0,
13,73,-1.0,0.5,
13,74,0.0,1.25,
13,75,1.0,0.5,
13,76,0.5,1.5,
13,77,1.0,0.5,
13,78,-1.5,1.5,
13,79,0.5,1.25,
13,80,1.5,1.25,
13,81,-1.0,1.5,
13,82,1.5,0.5,
13,83,1.0,1.0,
13,84,1.5,1.5,
13,85,1.0,1.5,
13,86,-0.5,0.5,
13,87,-0.5,1.0,
13,88,-1.5,1.5,
13,89,-1.5,0.5,
13,90,0.0,1.25,
13,91,1.0,1.25,
13,92,0.0,0.5,
13,93,0.5,1.0,
13,94,0.5,0.75,
13,95,0.5,1.25,
13,96,-1.0,0.75,
13,97,0.0,1.5,
13,98,-0.5,1.5,
13,99,-1.5,0.75,
13,100,0.5,0.75,
13,101,0.5,1.25,
13,102,1.0,1.5,
13,103,1.5,1.0,
13,104,1.5,1.0,
