pid,trial,shape,rendering,congruency
10,0,concave,slow,
10,1,convex,slow,
10,2,convex,static,
10,3,small,static,
10,4,concave,slow,
10,5,medium,slow,
10,6,large,slow,
10,7,slope,static,
10,8,large,static,
10,9,large,slow,
10,10,concave,fast,
10,11,slope,fast,
10,12,convex,slow,
10,13,concave,static,
10,14,large,static,
10,15,medium,static,
10,16,large,fast,
10,17,slope,slow,
10,18,concave,fast,
10,19,small,fast,
10,20,medium,fast,
10,21,convex,slow,
10,22,slope,static,
10,23,medium,slow,
10,24,slope,fast,
10,25,convex,static,
10,26,slope,static,
10,27,slope,static,
10,28,small,static,
10,29,slope,static,
10,30,convex,fast,
10,31,medium,static,
10,32,concave,static,
10,33,medium,slow,
10,34,small,slow,
10,35,large,fast,
10,36,convex,fast,
10,37,medium,slow,
10,38,slope,slow,
10,39,small,slow,
10,40,small,fast,
10,41,medium,fast,
10,42,concave,static,
10,43,convex,slow,
10,44,medium,fast,
10,45,convex,fast,
10,46,small,static,
10,47,convex,static,
10,48,concave,fast,
10,49,medium,static,
10,50,medium,static,
10,51,concave,fast,
10,52,large,fast,
10,53,small,fast,
10,54,convex,fast,
10,55,small,fast,
10,56,convex,slow,
10,57,small,static,
10,58,large,slow,
10,59,concave,fast,
10,60,small,slow,
10,61,large,static,
10,62,large,slow,
10,63,slope,fast,
10,64,large,fast,
10,65,slope,slow,
10,66,slope,fast,
10,67,concave,slow,
10,68,slope,slow,
10,69,slope,slow,
10,70,small,fast,
10,71,large,static,
10,72,small,static,
10,73,concave,static,
10,74,medium,static,
10,75,concave,static,
10,76,large,fast,
10,77,convex,static,
10,78,convex,fast,
10,79,slope,fast,
10,80,large,slow,
10,81,medium,fast,
10,82,small,slow,
10,83,concave,slow,
10,84,large,static,
10,85,concave,slow,
10,86,convex,static,
10,87,medium,slow,
10,88,small,slow,
10,89,medium,fast,
