pid,trial,physical_speed,visual_end_size,scenario,congruency
3,0,-40,35,two-hand,
3,1,-20,55,two-hand,
3,2,-40,50,two-hand,
3,3,-10,55,two-hand,
3,4,0,55,two-hand,
3,5,-10,40,two-hand,
3,6,-10,40,two-hand,
3,7,-20,40,two-hand,
3,8,-40,35,two-hand,
3,9,0,45,two-hand,
3,10,-40,40,two-hand,
3,11,-40,60,two-hand,
3,12,0,40,two-hand,
3,13,0,50,two-hand,
3,14,-40,50,two-hand,
3,15,-10,40,two-hand,
3,16,-20,35,two-hand,
3,17,-20,45,two-hand,
3,18,0,60,two-hand,
3,19,-40,45,two-hand,
3,20,-40,35,two-hand,
3,21,-40,40,two-hand,
3,22,0,45,two-hand,
3,23,-40,55,two-hand,
3,24,-40,55,two-hand,
3,25,0,60,two-hand,
3,26,-10,50,two-hand,
3,27,-10,40,two-hand,
3,28,-20,55,two-hand,
3,29,-10,35,two-hand,
3,30,-10,55,two-hand,
3,31,-20,45,two-hand,
3,32,-40,40,two-hand,
3,33,-20,60,two-hand,
3,34,-40,60,two-hand,
3,35,0,50,two-hand,
3,36,-40,50,two-hand,
3,37,-10,35,two-hand,
3,38,-40,45,two-hand,
3,39,-40,50,two-hand,
3,40,-10,55,two-hand,
3,41,-40,60,two-hand,
3,42,-10,45,two-hand,
3,43,0,40,two-hand,
3,44,0,35,two-hand,
3,45,0,40,two-hand,
3,46,-10,45,two-hand,
3,47,-10,50,two-hand,
3,48,-20,50,two-hand,
3,49,0,45,two-hand,
3,50,-20,55,two-hand,
3,51,-40,60,two-hand,
3,52,-10,60,two-hand,
3,53,0,50,two-hand,
3,54,-10,50,two-hand,
3,55,-20,60,two-hand,
3,56,-20,35,two-hand,
3,57,-20,45,two-hand,
3,58,-10,60,two-hand,
3,59,0,40,two-hand,
3,60,0,50,two-hand,
3,61,-40,45,two-hand,
3,62,-10,45,two-hand,
3,63,0,35,two-hand,
3,64,-10,50,two-hand,
3,65,0,35,two-hand,
3,66,0,35,two-hand,
3,67,-20,40,two-hand,
3,68,-10,60,two-hand,
3,69,0,55,two-hand,
3,70,-10,35,two-hand,
3,71,-20,50,two-hand,
3,72,-20,40,two-hand,
3,73,0,55,two-hand,
3,74,-20,35,two-hand,
3,75,-20,50,two-hand,
3,76,-20,45,two-hand,
3,77,0,55,two-hand,
3,78,-40,55,two-hand,
3,79,-20,35,two-hand,
3,80,0,45,two-hand,
3,81,-20,60,two-hand,
3,82,0,60,two-hand,
3,83,-10,35,two-hand,
3,84,-10,55,two-hand,
3,85,-40,40,two-hand,
3,86,-10,45,two-hand,
3,87,-20,50,two-hand,
3,88,0,60,two-hand,
3,89,-40,45,two-hand,
3,90,-10,60,two-hand,
3,91,-20,40,two-hand,
3,92,-40,55,two-hand,
3,93,-20,55,two-hand,
3,94,-40,35,two-hand,
3,95,-20,60,two-hand,
3,96,-20,50,one-hand,
3,97,-10,35,one-hand,
3,98,0,55,one-hand,
3,99,0,50,one-hand,
3,100,-20,40,one-hand,
3,101,-10,60,one-hand,
3,102,0,35,one-hand,
3,103,0,45,one-hand,
3,104,-40,45,one-hand,
3,105,0,35,one-hand,
3,106,-10,40,one-hand,
3,107,0,55,one-hand,
3,108,-40,35,one-hand,
3,109,-10,50,one-hand,
3,110,0,40,one-hand,
3,111,-20,60,one-hand,
3,112,-10,35,one-hand,
3,113,-20,45,one-hand,
3,114,-20,60,one-hand,
3,115,-20,55,one-hand,
3,116,-10,55,one-hand,
3,117,0,40,one-hand,
3,118,-20,35,one-hand,
3,119,-10,45,one-hand,
3,120,-10,35,one-hand,
