pid,trial,shape,rendering,congruency
5,0,slope,static,
5,1,medium,static,
5,2,concave,fast,
5,3,convex,slow,
5,4,small,static,
5,5,slope,static,
5,6,concave,static,
5,7,convex,static,
5,8,slope,fast,
5,9,slope,slow,
5,10,large,static,
5,11,large,static,
5,12,concave,slow,
5,13,medium,fast,
5,14,large,fast,
5,15,slope,fast,
5,16,medium,static,
5,17,large,fast,
5,18,medium,static,
5,19,medium,slow,
5,20,small,slow,
5,21,slope,slow,
5,22,medium,fast,
5,23,large,slow,
5,24,medium,static,
5,25,large,slow,
5,26,concave,static,
5,27,large,slow,
5,28,convex,fast,
5,29,convex,static,
5,30,small,fast,
5,31,small,fast,
5,32,convex,slow,
5,33,small,static,
5,34,small,slow,
5,35,medium,fast,
5,36,convex,fast,
5,37,concave,static,
5,38,small,slow,
5,39,convex,slow,
5,40,large,static,
5,41,small,fast,
5,42,large,static,
5,43,slope,fast,
5,44,concave,fast,
5,45,slope,static,
5,46,slope,slow,
5,47,slope,static,
5,48,convex,static,
5,49,small,fast,
5,50,concave,fast,
5,51,concave,static,
5,52,medium,fast,
5,53,convex,slow,
5,54,convex,slow,
5,55,convex,static,
5,56,small,fast,
5,57,medium,slow,
5,58,slope,slow,
5,59,concave,slow,
5,60,large,static,
5,61,slope,slow,
5,62,convex,fast,
5,63,concave,slow,
5,64,medium,slow,
5,65,small,static,
5,66,small,static,
5,67,concave,fast,
5,68,small,slow,
5,69,convex,fast,
5,70,medium,slow,
5,71,medium,fast,
5,72,convex,static,
5,73,concave,slow,
5,74,small,slow,
5,75,convex,fast,
5,76,slope,static,
5,77,slope,fast,
5,78,concave,slow,
5,79,large,fast,
5,80,medium,slow,
5,81,large,slow,
5,82,large,fast,
5,83,large,fast,
5,84,concave,fast,
5,85,concave,static,
5,86,slope,fast,
5,87,large,slow,
5,88,medium,static,
5,89,small,static,
