pid,trial,shape,rendering,congruency
6,0,large,fast,
6,1,concave,static,
6,2,medium,static,
6,3,large,slow,
6,4,large,slow,
6,5,medium,fast,
6,6,medium,fast,
6,7,concave,fast,
6,8,convex,static,
6,9,concave,fast,
6,10,medium,slow,
6,11,slope,slow,
6,12,slope,slow,
6,13,convex,fast,
6,14,slope,static,
6,15,convex,fast,
6,16,large,static,
6,17,large,slow,
6,18,convex,static,
6,19,medium,slow,
6,20,small,slow,
6,21,slope,fast,
6,22,convex,slow,
6,23,concave,fast,
6,24,concave,static,
6,25,slope,slow,
6,26,concave,slow,
6,27,medium,static,
6,28,medium,slow,
6,29,slope,fast,
6,30,convex,fast,
6,31,small,fast,
6,32,convex,static,
6,33,small,fast,
6,34,convex,slow,
6,35,small,static,
6,36,convex,slow,
6,37,medium,static,
6,38,convex,static,
6,39,slope,fast,
6,40,slope,slow,
6,41,small,slow,
6,42,large,static,
6,43,small,slow,
6,44,medium,static,
6,45,medium,fast,
6,46,small,slow,
6,47,concave,fast,
6,48,convex,slow,
6,49,small,fast,
6,50,slope,static,
6,51,concave,slow,
6,52,concave,static,
6,53,small,slow,
6,54,slope,fast,
6,55,large,slow,
6,56,small,fast,
6,57,convex,slow,
6,58,convex,static,
6,59,convex,fast,
6,60,small,fast,
6,61,large,static,
6,62,medium,slow,
6,63,convex,fast,
6,64,large,static,
6,65,large,fast,
6,66,concave,slow,
6,67,large,slow,
6,68,medium,fast,
6,69,small,static,
6,70,slope,slow,
6,71,medium,slow,
6,72,concave,slow,
6,73,slope,static,
6,74,slope,static,
6,75,slope,static,
6,76,large,static,
6,77,concave,slow,
6,78,small,static,
6,79,medium,fast,
6,80,medium,static,
6,81,small,static,
6,82,small,static,
6,83,concave,static,
6,84,large,fast,
6,85,large,fast,
6,86,concave,fast,
6,87,large,fast,
6,88,concave,static,
6,89,slope,fast,
