pid,trial,physicalSize,visualSize,congruent
2,0,20,87.5,
2,1,80,150.0,
2,2,100,100.0,
2,3,80,67.5,
2,4,20,75.0,
2,5,20,87.5,
2,6,80,125.0,
2,7,60,67.5,
2,8,100,67.5,
2,9,120,100.0,
2,10,60,175.0,
2,11,20,150.0,
2,12,120,150.0,
2,13,120,50.0,
2,14,40,150.0,
2,15,100,125.0,
2,16,60,87.5,
2,17,20,150.0,
2,18,120,67.5,
2,19,60,175.0,
2,20,100,100.0,
2,21,80,200.0,
2,22,20,200.0,
2,23,60,67.5,
2,24,40,87.5,
2,25,80,125.0,
2,26,80,87.5,
2,27,80,87.5,
2,28,80,67.5,
2,29,60,175.0,
2,30,100,200.0,
2,31,20,87.5,
2,32,40,50.0,
2,33,100,100.0,
2,34,20,75.0,
2,35,40,50.0,
2,36,60,200.0,
2,37,120,75.0,
2,38,80,50.0,
2,39,80,67.5,
2,40,100,67.5,
2,41,100,87.5,
2,42,120,200.0,
2,43,60,87.5,
2,44,40,200.0,
2,45,100,200.0,
2,46,120,67.5,
2,47,60,50.0,
2,48,60,200.0,
2,49,40,75.0,
2,50,80,87.5,
2,51,80,200.0,
2,52,100,75.0,
2,53,80,50.0,
2,54,60,100.0,
2,55,100,100.0,
2,56,60,200.0,
2,57,20,75.0,
2,58,120,125.0,
2,59,100,125.0,
2,60,80,50.0,
2,61,20,100.0,
2,62,120,125.0,
2,63,60,175.0,
2,64,20,87.5,
2,65,20,125.0,
2,66,20,150.0,
2,67,100,175.0,
2,68,100,75.0,
2,69,120,100.0,
2,70,40,50.0,
2,71,100,175.0,
2,72,60,100.0,
2,73,20,200.0,
2,74,80,100.0,
2,75,40,100.0,
2,76,20,87.5,
2,77,20,50.0,
2,78,80,150.0,
2,79,120,100.0,
2,80,60,125.0,
2,81,120,175.0,
2,82,80,75.0,
2,83,40,150.0,
2,84,80,175.0,
2,85,20,50.0,
2,86,60,87.5,
2,87,40,67.5,
2,88,60,200.0,
2,89,100,50.0,
2,90,40,200.0,
2,91,20,50.0,
2,92,40,87.5,
2,93,100,75.0,
2,94,100,200.0,
2,95,80,175.0,
2,96,100,75.0,
2,97,40,87.5,
2,98,40,175.0,
2,99,120,75.0,
2,100,60,75.0,
2,101,100,150.0,
2,102,40,50.0,
2,103,40,175.0,
2,104,80,87.5,
2,105,80,50.0,
2,106,80,150.0,
2,107,20,175.0,
2,108,40,125.0,
2,109,120,87.5,
2,110,20,150.0,
2,111,60,75.0,
2,112,40,100.0,
2,113,80,75.0,
2,114,120,67.5,
2,115,20,150.0,
2,116,60,175.0,
2,117,40,125.0,
2,118,40,125.0,
2,119,120,75.0,
2,120,80,125.0,
2,121,20,75.0,
2,122,60,200.0,
2,123,80,100.0,
2,124,40,150.0,
2,125,80,175.0,
2,126,60,67.5,
2,127,120,50.0,
2,128,100,200.0,
2,129,100,67.5,
2,130,100,87.5,
2,131,60,125.0,
2,132,100,100.0,
2,133,60,150.0,
2,134,20,100.0,
2,135,120,75.0,
2,136,60,50.0,
2,137,20,100.0,
2,138,120,150.0,
2,139,60,125.0,
2,140,80,100.0,
2,141,120,50.0,
2,142,20,175.0,
2,143,20,67.5,
2,144,120,175.0,
2,145,60,67.5,
2,146,20,200.0,
2,147,20,67.5,
2,148,60,75.0,
2,149,120,87.5,
2,150,100,125.0,
2,151,20,125.0,
2,152,120,50.0,
2,153,60,87.5,
2,154,20,175.0,
2,155,40,67.5,
2,156,20,67.5,
2,157,100,50.0,
2,158,100,200.0,
2,159,100,87.5,
2,160,20,75.0,
2,161,40,87.5,
2,162,60,67.5,
2,163,120,175.0,
2,164,40,100.0,
2,165,100,50.0,
2,166,80,67.5,
2,167,20,50.0,
2,168,20,125.0,
2,169,100,175.0,
2,170,60,150.0,
2,171,40,200.0,
2,172,80,150.0,
2,173,80,125.0,
2,174,60,75.0,
2,175,40,50.0,
2,176,20,200.0,
2,177,120,175.0,
2,178,40,87.5,
2,179,40,175.0,
2,180,120,87.5,
2,181,120,200.0,
2,182,120,125.0,
2,183,100,175.0,
2,184,80,125.0,
2,185,40,200.0,
2,186,80,200.0,
2,187,60,125.0,
2,188,120,100.0,
2,189,40,150.0,
2,190,120,87.5,
2,191,20,100.0,
2,192,80,100.0,
2,193,60,125.0,
2,194,100,50.0,
2,195,60,100.0,
2,196,120,150.0,
2,197,120,200.0,
2,198,40,175.0,
2,199,120,67.5,
2,200,80,75.0,
2,201,40,67.5,
2,202,80,87.5,
2,203,80,67.5,
2,204,120,50.0,
