pid,trial,visualSize,scenario,delayTime,direction,congruency,time,distance
11,0,35,one-hand,0.5,shrink,,,
11,1,30,one-hand,0.5,shrink,,,
11,2,50,one-hand,0.5,shrink,,,
11,3,60,one-hand,0.5,shrink,,,
11,4,45,one-hand,0.5,shrink,,,
11,5,35,one-hand,0.5,shrink,,,
11,6,50,one-hand,0.5,shrink,,,
11,7,50,one-hand,0.5,shrink,,,
11,8,55,one-hand,0.5,shrink,,,
11,9,25,one-hand,0.5,shrink,,,
11,10,30,one-hand,0.5,shrink,,,
11,11,35,one-hand,0.5,shrink,,,
11,12,40,one-hand,0.5,shrink,,,
11,13,60,one-hand,0.5,shrink,,,
11,14,40,one-hand,0.5,shrink,,,
11,15,30,one-hand,0.5,shrink,,,
11,16,45,one-hand,0.5,shrink,,,
11,17,35,one-hand,0.5,shrink,,,
11,18,30,one-hand,0.5,shrink,,,
11,19,20,one-hand,0.5,shrink,,,
11,20,55,one-hand,0.5,shrink,,,
11,21,60,one-hand,0.5,shrink,,,
11,22,55,one-hand,0.5,shrink,,,
11,23,40,one-hand,0.5,shrink,,,
11,24,35,one-hand,0.5,shrink,,,
11,25,40,one-hand,0.5,shrink,,,
11,26,20,one-hand,0.5,shrink,,,
11,27,45,one-hand,0.5,shrink,,,
11,28,20,one-hand,0.5,shrink,,,
11,29,20,one-hand,0.5,shrink,,,
11,30,20,one-hand,0.5,shrink,,,
11,31,40,one-hand,0.5,shrink,,,
11,32,45,one-hand,0.5,shrink,,,
11,33,25,one-hand,0.5,shrink,,,
11,34,25,one-hand,0.5,shrink,,,
11,35,50,one-hand,0.5,shrink,,,
11,36,55,one-hand,0.5,shrink,,,
11,37,50,one-hand,0.5,shrink,,,
11,38,45,one-hand,0.5,shrink,,,
11,39,55,one-hand,0.5,shrink,,,
11,40,30,one-hand,0.5,shrink,,,
11,41,25,one-hand,0.5,shrink,,,
11,42,25,one-hand,0.5,shrink,,,
11,43,60,one-hand,0.5,shrink,,,
11,44,60,one-hand,0.5,shrink,,,
11,45,50,two-hand,0.5,shrink,,,
11,46,30,two-hand,0.5,shrink,,,
11,47,60,two-hand,0.5,shrink,,,
11,48,55,two-hand,0.5,shrink,,,
11,49,25,two-hand,0.5,shrink,,,
11,50,20,two-hand,0.5,shrink,,,
11,51,55,two-hand,0.5,shrink,,,
11,52,60,two-hand,0.5,shrink,,,
11,53,40,two-hand,0.5,shrink,,,
11,54,35,two-hand,0.5,shrink,,,
11,55,45,two-hand,0.5,shrink,,,
11,56,30,two-hand,0.5,shrink,,,
11,57,45,two-hand,0.5,shrink,,,
11,58,50,two-hand,0.5,shrink,,,
11,59,50,two-hand,0.5,shrink,,,
11,60,45,two-hand,0.5,shrink,,,
11,61,30,two-hand,0.5,shrink,,,
11,62,25,two-hand,0.5,shrink,,,
11,63,35,two-hand,0.5,shrink,,,
11,64,60,two-hand,0.5,shrink,,,
11,65,40,two-hand,0.5,shrink,,,
11,66,40,two-hand,0.5,shrink,,,
11,67,20,two-hand,0.5,shrink,,,
11,68,20,two-hand,0.5,shrink,,,
11,69,60,two-hand,0.5,shrink,,,
11,70,35,two-hand,0.5,shrink,,,
11,71,25,two-hand,0.5,shrink,,,
11,72,25,two-hand,0.5,shrink,,,
11,73,55,two-hand,0.5,shrink,,,
11,74,55,two-hand,0.5,shrink,,,
11,75,50,two-hand,0.5,shrink,,,
11,76,45,two-hand,0.5,shrink,,,
11,77,20,two-hand,0.5,shrink,,,
11,78,35,two-hand,0.5,shrink,,,
11,79,25,two-hand,0.5,shrink,,,
11,80,40,two-hand,0.5,shrink,,,
11,81,20,two-hand,0.5,shrink,,,
11,82,35,two-hand,0.5,shrink,,,
11,83,55,two-hand,0.5,shrink,,,
11,84,30,two-hand,0.5,shrink,,,
11,85,30,two-hand,0.5,shrink,,,
11,86,40,two-hand,0.5,shrink,,,
11,87,50,two-hand,0.5,shrink,,,
11,88,45,two-hand,0.5,shrink,,,
11,89,60,two-hand,0.5,shrink,,,
