pid,trial,physical,visual,congruency
8,0,slope,concave,
8,1,convex,concave,
8,2,large,large,
8,3,convex,medium,
8,4,medium,convex,
8,5,medium,medium,
8,6,small,convex,
8,7,large,slope,
8,8,medium,slope,
8,9,small,concave,
8,10,convex,small,
8,11,slope,concave,
8,12,convex,large,
8,13,convex,slope,
8,14,slope,slope,
8,15,slope,slope,
8,16,concave,small,
8,17,concave,medium,
8,18,slope,slope,
8,19,small,large,
8,20,medium,concave,
8,21,medium,slope,
8,22,small,medium,
8,23,concave,small,
8,24,slope,large,
8,25,large,medium,
8,26,convex,convex,
8,27,medium,small,
8,28,convex,small,
8,29,medium,small,
8,30,slope,convex,
8,31,large,large,
8,32,small,small,
8,33,small,medium,
8,34,small,large,
8,35,small,slope,
8,36,medium,medium,
8,37,concave,slope,
8,38,slope,slope,
8,39,small,slope,
8,40,convex,large,
8,41,small,small,
8,42,large,concave,
8,43,slope,small,
8,44,medium,large,
8,45,large,medium,
8,46,slope,concave,
8,47,medium,large,
8,48,convex,convex,
8,49,slope,concave,
8,50,medium,large,
8,51,convex,concave,
8,52,convex,slope,
8,53,medium,medium,
8,54,concave,convex,
8,55,large,small,
8,56,medium,convex,
8,57,small,large,
8,58,concave,medium,
8,59,concave,small,
8,60,slope,large,
8,61,medium,medium,
8,62,slope,small,
8,63,medium,small,
8,64,slope,large,
8,65,small,convex,
8,66,concave,large,
8,67,small,slope,
8,68,convex,concave,
8,69,slope,concave,
8,70,large,small,
8,71,convex,convex,
8,72,medium,convex,
8,73,large,convex,
8,74,medium,concave,
8,75,small,concave,
8,76,slope,medium,
8,77,convex,small,
8,78,concave,slope,
8,79,convex,slope,
8,80,small,medium,
8,81,convex,large,
8,82,small,medium,
8,83,concave,concave,
8,84,large,slope,
8,85,concave,concave,
8,86,small,convex,
8,87,medium,large,
8,88,concave,large,
8,89,convex,medium,
8,90,slope,medium,
8,91,convex,medium,
8,92,convex,small,
8,93,convex,large,
8,94,small,slope,
8,95,slope,large,
8,96,slope,slope,
8,97,small,slope,
8,98,medium,concave,
8,99,convex,large,
8,100,concave,slope,
8,101,large,large,
8,102,concave,convex,
8,103,medium,slope,
8,104,concave,slope,
8,105,slope,convex,
8,106,slope,small,
8,107,concave,convex,
8,108,large,small,
8,109,slope,medium,
8,110,concave,medium,
8,111,large,slope,
8,112,medium,slope,
8,113,small,convex,
8,114,convex,slope,
8,115,small,small,
8,116,concave,small,
8,117,concave,convex,
8,118,medium,concave,
8,119,large,medium,
8,120,large,small,
8,121,small,concave,
8,122,convex,medium,
8,123,large,large,
8,124,concave,concave,
8,125,slope,convex,
8,126,concave,concave,
8,127,large,small,
8,128,convex,concave,
8,129,large,medium,
8,130,medium,concave,
8,131,large,convex,
8,132,concave,small,
8,133,small,medium,
8,134,medium,medium,
8,135,large,concave,
8,136,small,concave,
8,137,large,concave,
8,138,small,large,
8,139,large,convex,
8,140,medium,small,
8,141,slope,small,
8,142,slope,convex,
8,143,large,slope,
8,144,concave,convex,
8,145,small,large,
8,146,slope,convex,
8,147,medium,small,
8,148,small,small,
8,149,convex,slope,
8,150,convex,medium,
8,151,medium,slope,
8,152,convex,convex,
8,153,concave,slope,
8,154,small,concave,
8,155,large,slope,
8,156,small,convex,
8,157,convex,convex,
8,158,large,concave,
8,159,large,large,
8,160,concave,medium,
8,161,concave,large,
8,162,medium,convex,
8,163,slope,medium,
8,164,convex,small,
8,165,concave,large,
8,166,convex,concave,
8,167,medium,large,
8,168,medium,convex,
8,169,large,concave,
8,170,large,convex,
8,171,large,convex,
8,172,large,medium,
8,173,slope,medium,
8,174,concave,concave,
8,175,small,small,
8,176,slope,small,
8,177,concave,medium,
8,178,concave,large,
8,179,slope,large,
