pid,trial,physical,visual,rendering,scenario,congruency
5,0,60,200,static,two-hand,
5,1,60,150,static,two-hand,
5,2,80,200,static,two-hand,
5,3,80,75,static,two-hand,
5,4,60,200,dynamic,two-hand,
5,5,80,75,static,two-hand,
5,6,60,150,dynamic,two-hand,
5,7,60,100,dynamic,two-hand,
5,8,60,75,dynamic,two-hand,
5,9,60,200,static,two-hand,
5,10,60,50,static,two-hand,
5,11,80,100,dynamic,two-hand,
5,12,60,50,dynamic,two-hand,
5,13,60,150,static,two-hand,
5,14,80,50,dynamic,two-hand,
5,15,80,150,dynamic,two-hand,
5,16,60,100,dynamic,two-hand,
5,17,60,50,dynamic,two-hand,
5,18,80,50,dynamic,two-hand,
5,19,60,75,static,two-hand,
5,20,80,100,dynamic,two-hand,
5,21,60,150,dynamic,two-hand,
5,22,60,75,static,two-hand,
5,23,60,100,static,two-hand,
5,24,60,50,static,two-hand,
5,25,80,75,dynamic,two-hand,
5,26,80,75,dynamic,two-hand,
5,27,80,75,dynamic,two-hand,
5,28,60,150,static,two-hand,
5,29,80,100,static,two-hand,
5,30,80,50,dynamic,two-hand,
5,31,60,200,dynamic,two-hand,
5,32,80,100,static,two-hand,
5,33,60,50,dynamic,two-hand,
5,34,80,100,dynamic,two-hand,
5,35,80,75,static,two-hand,
5,36,80,150,static,two-hand,
5,37,60,75,dynamic,two-hand,
5,38,80,75,dynamic,two-hand,
5,39,60,100,static,two-hand,
5,40,80,100,static,two-hand,
5,41,80,50,static,two-hand,
5,42,80,150,static,two-hand,
5,43,60,150,dynamic,two-hand,
5,44,80,50,dynamic,two-hand,
5,45,60,100,dynamic,two-hand,
5,46,80,150,static,two-hand,
5,47,80,200,dynamic,two-hand,
5,48,80,150,dynamic,two-hand,
5,49,80,200,dynamic,two-hand,
5,50,60,75,static,two-hand,
5,51,80,200,static,two-hand,
5,52,80,150,static,two-hand,
5,53,80,200,static,two-hand,
5,54,80,150,dynamic,two-hand,
5,55,60,100,static,two-hand,
5,56,60,75,static,two-hand,
5,57,80,200,static,two-hand,
5,58,80,100,dynamic,two-hand,
5,59,60,100,static,two-hand,
5,60,60,50,static,two-hand,
5,61,60,150,dynamic,two-hand,
5,62,60,150,static,two-hand,
5,63,80,150,static,two-hand,
5,64,60,75,dynamic,two-hand,
5,65,80,200,dynamic,two-hand,
5,66,60,100,dynamic,two-hand,
5,67,60,75,dynamic,two-hand,
5,68,60,100,dynamic,two-hand,
5,69,80,50,static,two-hand,
5,70,80,100,static,two-hand,
5,71,60,200,static,two-hand,
5,72,60,50,static,two-hand,
5,73,80,100,dynamic,two-hand,
5,74,60,200,dynamic,two-hand,
5,75,80,150,dynamic,two-hand,
5,76,60,50,dynamic,two-hand,
5,77,60,100,static,two-hand,
5,78,80,200,dynamic,two-hand,
5,79,60,50,dynamic,two-hand,
5,80,80,50,static,two-hand,
5,81,80,75,static,two-hand,
5,82,80,200,static,two-hand,
5,83,60,75,static,two-hand,
5,84,80,200,dynamic,two-hand,
5,85,80,100,static,two-hand,
5,86,80,50,dynamic,two-hand,
5,87,60,200,dynamic,two-hand,
5,88,60,50,static,two-hand,
5,89,80,150,dynamic,two-hand,
5,90,60,200,static,two-hand,
5,91,60,150,static,two-hand,
5,92,80,50,static,two-hand,
5,93,60,75,dynamic,two-hand,
5,94,80,50,static,two-hand,
5,95,60,200,dynamic,two-hand,
5,96,80,75,dynamic,two-hand,
5,97,60,150,dynamic,two-hand,
5,98,60,200,static,two-hand,
5,99,80,75,static,two-hand,
5,100,80,50,dynamic,one-hand,
5,101,60,75,dynamic,one-hand,
5,102,80,150,static,one-hand,
5,103,60,100,static,one-hand,
5,104,80,200,static,one-hand,
5,105,80,200,static,one-hand,
5,106,80,100,static,one-hand,
5,107,80,75,static,one-hand,
5,108,80,100,static,one-hand,
5,109,60,75,dynamic,one-hand,
5,110,80,200,static,one-hand,
5,111,80,150,static,one-hand,
5,112,80,75,static,one-hand,
5,113,80,50,static,one-hand,
5,114,60,75,static,one-hand,
5,115,80,50,static,one-hand,
5,116,80,75,dynamic,one-hand,
5,117,80,100,static,one-hand,
5,118,80,150,dynamic,one-hand,
5,119,60,200,dynamic,one-hand,
5,120,60,100,static,one-hand,
5,121,60,100,dynamic,one-hand,
5,122,80,75,dynamic,one-hand,
5,123,60,100,static,one-hand,
5,124,80,50,dynamic,one-hand,
5,125,60,50,static,one-hand,
5,126,60,75,static,one-hand,
5,127,60,200,dynamic,one-hand,
5,128,60,50,dynamic,one-hand,
5,129,60,150,static,one-hand,
5,130,60,150,static,one-hand,
5,131,60,50,dynamic,one-hand,
5,132,80,50,dynamic,one-hand,
5,133,80,50,dynamic,one-hand,
5,134,80,100,dynamic,one-hand,
5,135,60,75,dynamic,one-hand,
5,136,60,200,static,one-hand,
5,137,60,75,static,one-hand,
5,138,80,75,dynamic,one-hand,
5,139,60,200,dynamic,one-hand,
5,140,80,150,dynamic,one-hand,
5,141,80,75,static,one-hand,
5,142,60,100,dynamic,one-hand,
5,143,80,200,dynamic,one-hand,
5,144,80,100,static,one-hand,
5,145,60,75,dynamic,one-hand,
5,146,80,200,static,one-hand,
5,147,60,200,static,one-hand,
5,148,80,50,static,one-hand,
5,149,80,200,dynamic,one-hand,
5,150,60,150,dynamic,one-hand,
5,151,80,75,dynamic,one-hand,
5,152,80,150,dynamic,one-hand,
5,153,60,50,static,one-hand,
5,154,80,200,dynamic,one-hand,
5,155,80,100,dynamic,one-hand,
5,156,80,50,static,one-hand,
5,157,60,150,dynamic,one-hand,
5,158,80,150,static,one-hand,
5,159,80,100,dynamic,one-hand,
5,160,80,150,dynamic,one-hand,
5,161,60,75,static,one-hand,
5,162,80,75,dynamic,one-hand,
5,163,60,150,dynamic,one-hand,
5,164,80,150,static,one-hand,
5,165,60,75,static,one-hand,
5,166,60,150,static,one-hand,
5,167,60,150,dynamic,one-hand,
5,168,60,50,dynamic,one-hand,
5,169,80,50,static,one-hand,
5,170,60,100,dynamic,one-hand,
5,171,60,50,static,one-hand,
5,172,60,150,static,one-hand,
5,173,60,100,dynamic,one-hand,
5,174,80,200,dynamic,one-hand,
5,175,80,200,static,one-hand,
5,176,80,100,static,one-hand,
5,177,80,150,static,one-hand,
5,178,60,200,dynamic,one-hand,
5,179,60,50,dynamic,one-hand,
5,180,60,50,static,one-hand,
5,181,60,200,static,one-hand,
5,182,60,100,static,one-hand,
5,183,60,150,static,one-hand,
5,184,60,200,static,one-hand,
5,185,60,75,dynamic,one-hand,
5,186,80,150,dynamic,one-hand,
5,187,80,75,static,one-hand,
5,188,60,150,dynamic,one-hand,
5,189,60,100,dynamic,one-hand,
5,190,60,50,static,one-hand,
5,191,80,75,static,one-hand,
5,192,80,50,dynamic,one-hand,
5,193,60,200,dynamic,one-hand,
5,194,60,100,static,one-hand,
5,195,80,100,dynamic,one-hand,
5,196,60,200,static,one-hand,
5,197,80,200,dynamic,one-hand,
5,198,60,50,dynamic,one-hand,
5,199,80,100,dynamic,one-hand,
