pid,trial,physical,visual,rendering,scenario,congruency
11,0,80,50,static,two-hand,
11,1,60,150,static,two-hand,
11,2,60,75,static,two-hand,
11,3,60,100,dynamic,two-hand,
11,4,60,100,dynamic,two-hand,
11,5,80,150,dynamic,two-hand,
11,6,60,200,dynamic,two-hand,
11,7,60,75,static,two-hand,
11,8,60,150,dynamic,two-hand,
11,9,60,75,static,two-hand,
11,10,60,200,dynamic,two-hand,
11,11,60,50,dynamic,two-hand,
11,12,60,75,dynamic,two-hand,
11,13,80,50,static,two-hand,
11,14,80,100,dynamic,two-hand,
11,15,60,150,dynamic,two-hand,
11,16,80,75,dynamic,two-hand,
11,17,60,75,static,two-hand,
11,18,60,75,static,two-hand,
11,19,80,150,dynamic,two-hand,
11,20,60,100,static,two-hand,
11,21,60,100,static,two-hand,
11,22,80,150,dynamic,two-hand,
11,23,80,75,dynamic,two-hand,
11,24,60,50,static,two-hand,
11,25,80,150,static,two-hand,
11,26,80,200,static,two-hand,
11,27,80,75,dynamic,two-hand,
11,28,80,50,dynamic,two-hand,
11,29,60,100,dynamic,two-hand,
11,30,60,150,static,two-hand,
11,31,60,200,dynamic,two-hand,
11,32,60,150,dynamic,two-hand,
11,33,80,100,static,two-hand,
11,34,80,50,static,two-hand,
11,35,60,200,dynamic,two-hand,
11,36,80,50,static,two-hand,
11,37,80,100,dynamic,two-hand,
11,38,80,200,dynamic,two-hand,
11,39,80,150,static,two-hand,
11,40,80,200,static,two-hand,
11,41,60,200,static,two-hand,
11,42,60,50,dynamic,two-hand,
11,43,60,75,dynamic,two-hand,
11,44,80,75,dynamic,two-hand,
11,45,60,150,dynamic,two-hand,
11,46,80,100,dynamic,two-hand,
11,47,80,150,static,two-hand,
11,48,80,75,static,two-hand,
11,49,60,50,dynamic,two-hand,
11,50,80,200,static,two-hand,
11,51,60,200,dynamic,two-hand,
11,52,80,150,static,two-hand,
11,53,60,200,static,two-hand,
11,54,60,200,static,two-hand,
11,55,80,100,dynamic,two-hand,
11,56,60,100,static,two-hand,
11,57,60,50,static,two-hand,
11,58,80,75,static,two-hand,
