pid,trial,shape,rendering,congruency
3,0,convex,fast,
3,1,small,static,
3,2,large,slow,
3,3,convex,fast,
3,4,concave,slow,
3,5,medium,static,
3,6,medium,static,
3,7,small,slow,
3,8,concave,fast,
3,9,convex,static,
3,10,concave,fast,
3,11,slope,fast,
3,12,medium,slow,
3,13,large,fast,
3,14,convex,static,
3,15,convex,fast,
3,16,convex,static,
3,17,medium,slow,
3,18,large,fast,
3,19,slope,slow,
3,20,convex,slow,
3,21,large,fast,
3,22,small,static,
3,23,medium,fast,
3,24,large,slow,
3,25,small,fast,
3,26,concave,slow,
3,27,convex,static,
3,28,large,static,
3,29,large,fast,
3,30,concave,static,
3,31,slope,slow,
3,32,convex,slow,
3,33,medium,fast,
3,34,medium,fast,
3,35,slope,fast,
3,36,concave,static,
3,37,large,static,
3,38,slope,slow,
3,39,medium,slow,
3,40,convex,slow,
3,41,convex,fast,
3,42,concave,static,
3,43,medium,fast,
3,44,medium,slow,
3,45,small,slow,
3,46,convex,slow,
3,47,concave,slow,
3,48,large,static,
3,49,medium,static,
3,50,slope,fast,
3,51,large,slow,
3,52,slope,static,
3,53,convex,fast,
3,54,small,fast,
3,55,concave,slow,
3,56,concave,fast,
3,57,slope,fast,
3,58,slope,static,
3,59,concave,static,
3,60,small,static,
3,61,small,slow,
3,62,small,slow,
3,63,large,slow,
3,64,convex,slow,
3,65,small,slow,
3,66,small,static,
3,67,slope,slow,
3,68,medium,fast,
3,69,slope,fast,
3,70,concave,slow,
3,71,slope,static,
3,72,small,fast,
3,73,large,slow,
3,74,slope,static,
3,75,medium,static,
3,76,concave,fast,
3,77,medium,slow,
3,78,large,static,
3,79,concave,fast,
3,80,medium,static,
3,81,large,fast,
3,82,large,static,
3,83,concave,static,
3,84,small,static,
3,85,slope,slow,
3,86,small,fast,
3,87,convex,static,
3,88,slope,static,
3,89,small,fast,
