pid,trial,physicalSpeed,visualSpeed,congruent
4,0,-0.5,0.5,
4,1,0.5,1.5,
4,2,-1.0,0.75,
4,3,-1.0,0.5,
4,4,0.0,1.25,
4,5,1.0,0.5,
4,6,0.5,1.0,
4,7,1.5,0.75,
4,8,-1.0,1.25,
4,9,1.0,1.0,
4,10,1.0,0.5,
4,11,-0.5,0.75,
4,12,-1.5,1.25,
4,13,-1.5,1.5,
4,14,1.5,1.25,
4,15,0.0,1.0,
4,16,0.5,1.25,
4,17,1.5,1.0,
4,18,1.5,1.0,
4,19,1.5,0.75,
4,20,-1.0,0.75,
4,21,-1.0,0.75,
4,22,-0.5,1.0,
4,23,-1.0,1.0,
4,24,-1.5,1.0,
4,25,0.5,0.5,
4,26,0.0,1.25,
4,27,1.0,1.5,
4,28,-0.5,1.0,
4,29,0.5,0.5,
4,30,1.5,0.75,
4,31,-0.5,0.5,
4,32,-1.0,1.0,
4,33,0.0,1.5,
4,34,0.5,1.5,
4,35,-1.5,0.75,
4,36,0.5,1.0,
4,37,1.0,0.5,
4,38,1.5,0.5,
4,39,-1.5,1.0,
4,40,-1.0,1.0,
4,41,1.0,0.5,
4,42,1.0,0.5,
4,43,-1.0,1.25,
4,44,0.5,1.5,
4,45,-1.0,0.75,
4,46,-0.5,1.5,
4,47,1.5,0.5,
4,48,1.0,1.25,
4,49,0.5,1.0,
4,50,-0.5,1.25,
4,51,-1.5,1.25,
4,52,-0.5,0.5,
4,53,1.5,1.25,
4,54,1.5,0.5,
4,55,-0.5,0.75,
4,56,-1.5,0.75,
4,57,0.5,0.5,
4,58,-1.0,0.5,
4,59,-1.5,0.75,
4,60,0.0,1.0,
4,61,0.0,1.25,
4,62,-0.5,1.5,
4,63,0.0,0.5,
4,64,0.5,1.25,
4,65,-1.5,1.25,
4,66,0.5,1.5,
4,67,1.5,0.5,
4,68,-0.5,1.25,
4,69,0.0,0.75,
4,70,1.5,1.25,
4,71,-1.5,0.5,
4,72,1.5,1.25,
4,73,0.0,1.0,
4,74,-1.5,0.5,
4,75,0.5,1.5,
4,76,-0.5,1.0,
4,77,1.0,0.75,
4,78,-0.5,1.5,
4,79,1.5,0.5,
4,80,-1.0,1.5,
4,81,-1.5,0.5,
4,82,1.0,1.5,
4,83,-0.5,1.25,
4,84,0.0,1.5,
4,85,1.0,1.5,
4,86,0.5,1.0,
4,87,0.0,1.25,
4,88,1.0,1.5,
4,89,1.0,1.0,
4,90,0.5,1.25,
4,91,-0.5,0.5,
4,92,0.5,0.5,
4,93,-1.5,1.5,
4,94,0.0,1.0,
4,95,0.5,1.25,
4,96,0.0,0.5,
4,97,0.0,1.0,
4,98,-1.0,1.0,
4,99,1.0,1.0,
4,100,-1.0,0.75,
4,101,-0.5,0.75,
4,102,1.0,1.0,
4,103,0.5,0.75,
4,104,-1.5,0.5,
4,105,0.0,1.5,
4,106,-1.5,0.5,
4,107,-1.5,1.0,
4,108,0.5,0.75,
4,109,1.5,1.25,
4,110,-1.5,0.75,
4,111,-0.5,1.25,
4,112,-1.5,1.5,
4,113,-1.0,1.25,
4,114,0.0,0.5,
4,115,1.5,1.0,
4,116,-0.5,0.5,
4,117,0.5,1.25,
4,118,1.0,1.25,
4,119,1.0,1.25,
4,120,-1.5,1.5,
4,121,1.5,0.75,
4,122,0.0,0.75,
4,123,-1.5,1.25,
4,124,0.0,0.5,
4,125,0.5,0.75,
4,126,0.0,1.5,
4,127,1.0,0.75,
4,128,0.5,0.75,
4,129,-1.0,1.0,
4,130,-0.5,1.0,
4,131,1.5,0.75,
4,132,0.0,1.5,
4,133,1.5,1.5,
4,134,-1.0,0.5,
4,135,-1.0,1.25,
4,136,1.0,0.75,
4,137,1.0,1.25,
4,138,-0.5,0.75,
4,139,0.5,1.0,
4,140,1.5,1.5,
4,141,1.5,1.0,
4,142,0.0,0.75,
4,143,1.5,1.5,
4,144,-0.5,1.5,
4,145,-1.5,1.25,
4,146,-1.0,1.5,
4,147,1.0,0.75,
4,148,0.5,0.5,
4,149,1.0,1.25,
4,150,-0.5,1.25,
4,151,-1.0,1.5,
4,152,1.5,1.5,
4,153,0.0,1.25,
4,154,-0.5,1.5,
4,155,0.5,0.75,
4,156,-1.0,1.25,
4,157,-1.5,1.0,
4,158,-1.0,1.5,
4,159,0.0,0.5,
4,160,1.0,0.75,
4,161,1.5,1.5,
4,162,1.5,1.0,
4,163,0.0,0.75,
4,164,0.0,0.75,
4,165,-0.5,0.75,
4,166,1.0,1.0,
4,167,-0.5,1.0,
4,168,-1.5,0.75,
4,169,-1.0,1.5,
4,170,1.0,1.5,
4,171,-1.0,0.5,
4,172,-1.0,0.5,
4,173,-1.5,1.5,
4,174,-1.5,1.0,
