pid,trial,physical,visual,rendering,scenario,congruency
6,0,60,200,dynamic,one-hand,
6,1,80,75,static,one-hand,
6,2,80,100,static,one-hand,
6,3,60,150,static,one-hand,
6,4,80,75,dynamic,one-hand,
6,5,60,75,static,one-hand,
6,6,80,200,dynamic,one-hand,
6,7,80,200,dynamic,one-hand,
6,8,80,200,static,one-hand,
6,9,80,200,static,one-hand,
6,10,80,50,static,one-hand,
6,11,60,75,static,one-hand,
6,12,80,150,static,one-hand,
6,13,80,150,dynamic,one-hand,
6,14,80,100,dynamic,one-hand,
6,15,80,100,static,one-hand,
6,16,80,150,dynamic,one-hand,
6,17,80,150,static,one-hand,
6,18,80,50,dynamic,one-hand,
6,19,60,200,dynamic,one-hand,
6,20,80,50,static,one-hand,
6,21,60,50,dynamic,one-hand,
6,22,60,75,dynamic,one-hand,
6,23,60,100,dynamic,one-hand,
6,24,60,75,static,one-hand,
6,25,60,100,static,one-hand,
6,26,60,150,dynamic,one-hand,
6,27,60,75,dynamic,one-hand,
6,28,80,75,static,one-hand,
6,29,60,50,static,one-hand,
6,30,60,75,dynamic,one-hand,
6,31,60,100,dynamic,one-hand,
6,32,60,100,static,one-hand,
6,33,60,75,static,one-hand,
6,34,60,150,static,one-hand,
6,35,60,150,static,one-hand,
6,36,60,150,dynamic,one-hand,
6,37,80,200,static,one-hand,
6,38,60,100,static,one-hand,
6,39,60,50,static,one-hand,
6,40,60,50,dynamic,one-hand,
6,41,80,50,static,one-hand,
6,42,60,200,static,one-hand,
6,43,60,50,dynamic,one-hand,
6,44,60,150,static,one-hand,
6,45,60,200,dynamic,one-hand,
6,46,80,100,dynamic,one-hand,
6,47,60,150,dynamic,one-hand,
6,48,80,200,static,one-hand,
6,49,80,100,dynamic,one-hand,
6,50,80,100,static,one-hand,
6,51,80,100,dynamic,one-hand,
6,52,80,50,dynamic,one-hand,
6,53,60,75,dynamic,one-hand,
6,54,60,50,static,one-hand,
6,55,80,50,dynamic,one-hand,
6,56,80,150,dynamic,one-hand,
6,57,80,200,dynamic,one-hand,
6,58,80,100,static,one-hand,
6,59,60,100,static,one-hand,
6,60,80,50,static,one-hand,
6,61,80,150,dynamic,one-hand,
6,62,80,50,static,one-hand,
6,63,60,75,dynamic,one-hand,
6,64,60,100,dynamic,one-hand,
6,65,80,75,dynamic,one-hand,
6,66,60,75,static,one-hand,
6,67,60,50,dynamic,one-hand,
