pid,trial,shape,rendering,congruency
12,0,medium,slow,
12,1,small,slow,
12,2,convex,static,
12,3,large,static,
12,4,slope,slow,
12,5,slope,slow,
12,6,large,static,
12,7,large,slow,
12,8,medium,fast,
12,9,convex,fast,
12,10,convex,fast,
12,11,concave,static,
12,12,concave,static,
12,13,convex,static,
12,14,medium,static,
12,15,medium,slow,
12,16,large,static,
12,17,slope,slow,
12,18,concave,slow,
12,19,convex,slow,
12,20,slope,slow,
12,21,small,static,
12,22,convex,slow,
12,23,concave,fast,
12,24,slope,fast,
12,25,small,slow,
12,26,concave,slow,
12,27,concave,static,
12,28,small,fast,
12,29,concave,slow,
12,30,medium,fast,
12,31,small,static,
12,32,large,slow,
12,33,convex,static,
12,34,large,fast,
12,35,concave,fast,
12,36,small,fast,
12,37,concave,fast,
12,38,small,slow,
12,39,large,slow,
12,40,convex,slow,
12,41,medium,static,
12,42,slope,fast,
12,43,convex,fast,
12,44,slope,static,
12,45,small,static,
12,46,slope,fast,
12,47,concave,fast,
12,48,slope,fast,
12,49,convex,static,
12,50,slope,static,
12,51,slope,static,
12,52,medium,slow,
12,53,medium,slow,
12,54,concave,static,
12,55,large,static,
12,56,convex,slow,
12,57,convex,fast,
12,58,large,slow,
12,59,medium,static,
12,60,slope,fast,
12,61,small,fast,
12,62,medium,static,
12,63,small,slow,
12,64,large,fast,
12,65,concave,slow,
12,66,convex,fast,
12,67,convex,slow,
12,68,small,fast,
12,69,large,fast,
12,70,slope,static,
12,71,medium,fast,
12,72,medium,static,
12,73,concave,fast,
12,74,large,fast,
12,75,large,static,
12,76,medium,slow,
12,77,convex,static,
12,78,large,slow,
12,79,small,slow,
12,80,small,static,
12,81,medium,fast,
12,82,small,fast,
12,83,concave,static,
12,84,concave,slow,
12,85,slope,slow,
12,86,small,static,
12,87,medium,fast,
12,88,large,fast,
12,89,slope,static,
