pid,trial,shape,rendering,congruency
1,0,small,fast,
1,1,concave,fast,
1,2,medium,slow,
1,3,large,static,
1,4,concave,static,
1,5,small,slow,
1,6,small,slow,
1,7,medium,fast,
1,8,convex,fast,
1,9,convex,fast,
1,10,concave,static,
1,11,slope,fast,
1,12,large,static,
1,13,small,slow,
1,14,slope,slow,
1,15,convex,static,
1,16,slope,fast,
1,17,small,fast,
1,18,concave,fast,
1,19,convex,fast,
1,20,medium,fast,
1,21,convex,static,
1,22,convex,static,
1,23,medium,static,
1,24,slope,static,
1,25,medium,fast,
1,26,large,slow,
1,27,slope,static,
1,28,large,static,
1,29,slope,slow,
1,30,convex,static,
1,31,concave,slow,
1,32,concave,slow,
1,33,slope,fast,
1,34,slope,static,
1,35,small,static,
1,36,large,static,
1,37,small,slow,
1,38,medium,static,
1,39,medium,fast,
1,40,slope,fast,
1,41,small,fast,
1,42,convex,slow,
1,43,large,fast,
1,44,large,slow,
1,45,large,slow,
1,46,concave,slow,
1,47,convex,static,
1,48,convex,fast,
1,49,concave,static,
1,50,small,static,
1,51,convex,slow,
1,52,convex,slow,
1,53,large,fast,
1,54,concave,fast,
1,55,medium,slow,
1,56,medium,static,
1,57,large,fast,
1,58,slope,slow,
1,59,large,fast,
1,60,small,static,
1,61,medium,fast,
1,62,medium,slow,
1,63,large,slow,
1,64,slope,slow,
1,65,small,slow,
1,66,small,static,
1,67,concave,static,
1,68,concave,fast,
1,69,large,slow,
1,70,concave,slow,
1,71,convex,fast,
1,72,slope,static,
1,73,small,fast,
1,74,medium,slow,
1,75,medium,slow,
1,76,small,static,
1,77,slope,static,
1,78,large,fast,
1,79,medium,static,
1,80,large,static,
1,81,slope,slow,
1,82,small,fast,
1,83,medium,static,
1,84,concave,fast,
1,85,concave,static,
1,86,concave,slow,
1,87,convex,slow,
1,88,slope,fast,
1,89,convex,slow,
