pid,trial,visualSize,scenario,direction,congruency,time,distance
7,0,60,one-hand,shrink,1,2.355233,
7,1,52,one-hand,shrink,0,1.923703,
7,2,44,one-hand,shrink,1,1.924784,
7,3,48,one-hand,shrink,1,1.380688,
7,4,56,one-hand,shrink,1,1.312775,
7,5,42,one-hand,shrink,1,2.591658,
7,6,40,one-hand,shrink,1,1.645149,
7,7,58,one-hand,shrink,1,2.090019,
7,8,48,one-hand,shrink,1,2.00737,
7,9,42,one-hand,shrink,1,2.856967,
7,10,54,one-hand,shrink,1,1.894737,
7,11,50,one-hand,shrink,1,2.021551,
7,12,60,one-hand,shrink,1,1.631014,
7,13,52,one-hand,shrink,0,1.645312,
7,14,44,one-hand,shrink,1,3.121708,
7,15,60,one-hand,shrink,0,4.01204,
7,16,50,one-hand,shrink,1,1.533133,
7,17,40,one-hand,shrink,1,1.465237,
7,18,54,one-hand,shrink,1,1.294825,
7,19,46,one-hand,shrink,1,1.309642,
7,20,52,one-hand,shrink,1,1.590478,
7,21,46,one-hand,shrink,0,1.548586,
7,22,44,one-hand,shrink,1,1.450974,
7,23,60,one-hand,shrink,1,1.493125,
7,24,50,one-hand,shrink,1,1.993993,
7,25,40,one-hand,shrink,0,1.450828,
7,26,54,one-hand,shrink,0,2.271976,
7,27,46,one-hand,shrink,0,2.35569,
7,28,42,one-hand,shrink,1,1.381844,
7,29,48,one-hand,shrink,1,1.589617,
7,30,40,one-hand,shrink,1,1.826703,
7,31,44,one-hand,shrink,0,1.352687,
7,32,44,one-hand,shrink,1,1.255685,
7,33,52,one-hand,shrink,1,1.450491,
7,34,54,one-hand,shrink,0,1.409188,
7,35,54,one-hand,shrink,0,1.645487,
7,36,40,one-hand,shrink,0,1.673174,
7,37,46,one-hand,shrink,1,1.172469,
7,38,42,one-hand,shrink,1,1.339165,
7,39,56,one-hand,shrink,1,1.226922,
7,40,52,one-hand,shrink,1,1.378253,
7,41,58,one-hand,shrink,1,1.50642,
7,42,58,one-hand,shrink,1,1.33808,
7,43,56,one-hand,shrink,1,1.409323,
7,44,46,one-hand,shrink,1,1.381624,
7,45,58,one-hand,shrink,1,1.814043,
7,46,58,one-hand,shrink,1,1.380753,
7,47,56,one-hand,shrink,0,1.575108,
7,48,60,one-hand,shrink,1,1.506117,
7,49,50,one-hand,shrink,1,1.310456,
7,50,56,one-hand,shrink,1,1.213501,
7,51,50,one-hand,shrink,1,1.228391,
7,52,48,one-hand,shrink,0,1.31085,
7,53,48,one-hand,shrink,1,1.199916,
7,54,42,one-hand,shrink,0,1.42219,
7,55,56,two-hand,shrink,0,2.296895,0.2082945
7,56,44,two-hand,shrink,1,3.063412,0.18794
7,57,46,two-hand,shrink,0,1.587201,0.1828793
7,58,42,two-hand,shrink,1,1.545588,0.1784569
7,59,40,two-hand,shrink,1,2.102692,0.1711098
7,60,48,two-hand,shrink,0,1.48939,0.1797373
7,61,42,two-hand,shrink,1,2.032465,0.1742407
7,62,60,two-hand,shrink,1,1.809991,0.1770373
7,63,50,two-hand,shrink,0,1.684864,0.1770324
7,64,50,two-hand,shrink,0,1.921613,0.1748565
7,65,52,two-hand,shrink,1,1.280917,0.2196055
7,66,54,two-hand,shrink,1,1.962915,0.1726746
7,67,56,two-hand,shrink,0,2.255766,0.1724488
7,68,54,two-hand,shrink,1,1.559343,0.1736363
7,69,56,two-hand,shrink,1,1.419896,0.1800679
