pid,trial,visualSize,scenario,direction,congruency,time,distance
2,0,54,two-hand,shrink,0,2.989039,0.1792912
2,1,48,two-hand,shrink,0,2.835748,0.173204
2,2,50,two-hand,shrink,0,3.98825,0.172927
2,3,44,two-hand,shrink,0,2.655889,0.1734515
2,4,58,two-hand,shrink,1,2.085657,0.1769556
2,5,60,two-hand,shrink,1,1.793487,0.176157
2,6,48,two-hand,shrink,1,3.613511,0.172476
2,7,56,two-hand,shrink,0,3.975187,0.1776122
2,8,60,two-hand,shrink,1,2.558461,0.1759314
2,9,42,two-hand,shrink,0,1.794075,0.1743146
2,10,60,two-hand,shrink,1,1.710436,0.1752979
2,11,52,two-hand,shrink,1,3.516405,0.1733396
2,12,48,two-hand,shrink,0,2.09903,0.1736961
2,13,60,two-hand,shrink,1,1.835342,0.1717733
2,14,46,two-hand,shrink,0,2.932776,0.1758671
2,15,40,two-hand,shrink,0,1.713816,0.1740839
2,16,58,two-hand,shrink,1,5.072176,0.1764368
2,17,58,two-hand,shrink,0,2.2666,0.1757169
2,18,46,two-hand,shrink,0,2.293809,0.1769711
2,19,56,two-hand,shrink,1,2.141512,0.1772816
2,20,44,two-hand,shrink,0,2.960843,0.184103
2,21,50,two-hand,shrink,0,13.51579,0.177682
2,22,50,two-hand,shrink,1,3.154475,0.1729507
2,23,44,two-hand,shrink,0,2.224714,0.1741684
2,24,40,two-hand,shrink,0,2.252223,0.1729811
2,25,54,two-hand,shrink,1,2.114048,0.1708286
2,26,56,two-hand,shrink,1,2.29385,0.1689618
2,27,40,two-hand,shrink,0,1.988529,0.1734205
2,28,56,two-hand,shrink,1,1.891159,0.1722275
2,29,52,two-hand,shrink,1,2.655066,0.1728283
2,30,52,two-hand,shrink,1,2.279871,0.1751244
2,31,40,two-hand,shrink,0,2.738953,0.1742407
2,32,52,two-hand,shrink,1,2.627527,0.1709052
2,33,58,two-hand,shrink,1,2.072639,0.1761006
2,34,48,two-hand,shrink,0,2.378211,0.1712705
2,35,46,two-hand,shrink,0,3.280643,0.17357
2,36,44,two-hand,shrink,0,2.391783,0.1706019
2,37,54,two-hand,shrink,1,1.738154,0.1724482
2,38,46,two-hand,shrink,0,2.347177,0.1707372
2,39,42,two-hand,shrink,0,3.086253,0.1713219
2,40,46,two-hand,shrink,0,1.946928,0.1706801
2,41,54,two-hand,shrink,1,2.516252,0.1720737
2,42,42,two-hand,shrink,0,3.891464,0.1750997
2,43,58,two-hand,shrink,1,2.112209,0.1750122
2,44,60,two-hand,shrink,1,1.975218,0.1699519
2,45,42,two-hand,shrink,0,2.016142,0.1737681
2,46,50,two-hand,shrink,1,3.127423,0.1724654
2,47,56,two-hand,shrink,1,2.058521,0.1720034
2,48,44,two-hand,shrink,0,1.752618,0.174628
2,49,48,two-hand,shrink,1,1.544255,0.1721692
2,50,54,two-hand,shrink,1,1.447713,0.1726837
2,51,52,two-hand,shrink,1,1.585356,0.1718124
2,52,42,two-hand,shrink,0,1.905068,0.1728954
2,53,40,two-hand,shrink,0,1.655614,0.1736644
2,54,50,two-hand,shrink,1,1.694252,0.171484
