pid,trial,physical,visual,congruency
9,0,slope,medium,
9,1,medium,small,
9,2,small,concave,
9,3,slope,slope,
9,4,medium,concave,
9,5,slope,small,
9,6,convex,medium,
9,7,slope,medium,
9,8,small,slope,
9,9,concave,medium,
9,10,convex,convex,
9,11,concave,convex,
9,12,slope,concave,
9,13,large,medium,
9,14,small,convex,
9,15,convex,slope,
9,16,concave,concave,
9,17,concave,slope,
9,18,slope,medium,
9,19,large,small,
9,20,large,large,
9,21,medium,slope,
9,22,large,medium,
9,23,medium,large,
9,24,medium,small,
9,25,medium,medium,
9,26,large,convex,
9,27,large,concave,
9,28,small,medium,
9,29,slope,convex,
9,30,small,large,
9,31,convex,convex,
9,32,slope,small,
9,33,small,small,
9,34,slope,convex,
9,35,convex,medium,
9,36,large,large,
9,37,medium,convex,
9,38,convex,large,
9,39,large,concave,
9,40,slope,convex,
9,41,slope,large,
9,42,concave,slope,
9,43,medium,large,
9,44,large,slope,
9,45,medium,convex,
9,46,medium,large,
9,47,small,medium,
9,48,convex,medium,
9,49,concave,concave,
9,50,slope,concave,
9,51,convex,slope,
9,52,convex,concave,
9,53,medium,concave,
9,54,concave,concave,
9,55,convex,small,
9,56,concave,concave,
9,57,slope,small,
9,58,convex,slope,
9,59,medium,medium,
9,60,convex,slope,
9,61,large,small,
9,62,convex,concave,
9,63,large,convex,
9,64,small,concave,
9,65,large,medium,
9,66,small,slope,
9,67,large,small,
9,68,small,medium,
9,69,small,small,
9,70,convex,concave,
9,71,medium,convex,
9,72,medium,medium,
9,73,concave,large,
9,74,large,convex,
9,75,large,large,
9,76,concave,convex,
9,77,small,convex,
9,78,concave,slope,
9,79,medium,convex,
9,80,medium,large,
9,81,small,small,
9,82,small,large,
9,83,convex,large,
9,84,medium,slope,
9,85,small,convex,
9,86,slope,large,
9,87,large,concave,
9,88,large,concave,
9,89,concave,slope,
9,90,convex,slope,
9,91,large,slope,
9,92,convex,small,
9,93,concave,medium,
9,94,small,concave,
9,95,medium,slope,
9,96,convex,small,
9,97,medium,concave,
9,98,small,large,
9,99,concave,concave,
9,100,convex,large,
9,101,large,large,
9,102,small,slope,
9,103,large,slope,
9,104,slope,medium,
9,105,large,small,
9,106,convex,convex,
9,107,medium,medium,
9,108,medium,slope,
9,109,slope,convex,
9,110,small,convex,
9,111,small,large,
9,112,convex,concave,
9,113,concave,medium,
9,114,slope,slope,
9,115,large,convex,
9,116,slope,concave,
9,117,medium,medium,
9,118,concave,small,
9,119,slope,concave,
9,120,convex,concave,
9,121,slope,concave,
9,122,slope,small,
9,123,slope,large,
9,124,small,slope,
9,125,concave,convex,
9,126,convex,small,
9,127,convex,medium,
9,128,concave,medium,
9,129,large,slope,
9,130,slope,slope,
9,131,medium,concave,
9,132,concave,medium,
9,133,medium,convex,
9,134,medium,slope,
9,135,medium,concave,
9,136,convex,small,
9,137,large,small,
9,138,convex,large,
9,139,concave,slope,
9,140,concave,large,
9,141,concave,small,
9,142,convex,medium,
9,143,small,small,
9,144,small,medium,
9,145,medium,small,
9,146,medium,large,
9,147,large,slope,
9,148,concave,large,
9,149,slope,small,
9,150,small,small,
9,151,concave,large,
9,152,medium,small,
9,153,concave,convex,
9,154,concave,small,
9,155,slope,large,
9,156,small,slope,
9,157,concave,convex,
9,158,large,large,
9,159,small,large,
9,160,slope,medium,
9,161,small,convex,
9,162,slope,convex,
9,163,convex,large,
9,164,large,medium,
9,165,slope,large,
9,166,convex,convex,
9,167,concave,small,
9,168,large,medium,
9,169,slope,slope,
9,170,medium,small,
9,171,convex,convex,
9,172,concave,large,
9,173,large,convex,
9,174,small,medium,
9,175,large,concave,
9,176,concave,small,
9,177,slope,slope,
9,178,small,concave,
9,179,small,concave,
