pid,trial,physicalSpeed,visualSpeed,congruent
7,0,-1.5,0.5,
7,1,1.5,0.5,
7,2,0.5,0.5,
7,3,-0.5,1.5,
7,4,1.0,1.25,
7,5,1.0,1.5,
7,6,-1.0,1.5,
7,7,1.0,0.75,
7,8,-0.5,0.5,
7,9,-1.5,1.0,
7,10,0.5,1.5,
7,11,-1.0,1.0,
7,12,0.0,0.75,
7,13,1.0,1.5,
7,14,1.0,1.25,
7,15,0.5,0.75,
7,16,0.0,1.0,
7,17,0.5,1.25,
7,18,-1.5,0.5,
7,19,-1.0,1.25,
7,20,0.5,0.75,
7,21,0.0,1.0,
7,22,-1.0,0.5,
7,23,1.0,1.5,
7,24,0.0,1.25,
7,25,-1.5,0.5,
7,26,-1.5,1.5,
7,27,1.0,1.25,
7,28,1.5,1.0,
7,29,1.5,1.0,
7,30,-1.0,1.25,
7,31,1.5,1.25,
7,32,1.0,0.75,
7,33,-0.5,1.5,
7,34,-1.5,1.5,
7,35,-0.5,1.25,
7,36,0.0,1.0,
7,37,1.5,0.75,
7,38,-1.0,1.5,
7,39,-1.0,0.75,
7,40,1.0,1.0,
7,41,-1.0,0.5,
7,42,1.5,1.5,
7,43,-1.0,1.25,
7,44,0.5,0.5,
7,45,1.5,0.75,
7,46,1.0,1.0,
7,47,0.0,1.25,
7,48,0.0,0.5,
7,49,-1.5,1.5,
7,50,-1.0,0.75,
7,51,0.5,0.5,
7,52,-1.5,1.25,
7,53,1.5,0.5,
7,54,-1.5,0.75,
7,55,0.5,1.0,
7,56,1.5,1.0,
7,57,-0.5,0.5,
7,58,-0.5,0.5,
7,59,-0.5,1.0,
7,60,0.0,0.75,
7,61,-1.5,1.0,
7,62,-1.0,0.75,
7,63,1.0,1.25,
7,64,1.5,1.25,
7,65,0.5,1.5,
7,66,1.5,0.75,
7,67,-1.5,1.0,
7,68,0.5,1.5,
7,69,0.5,0.75,
7,70,-1.0,1.5,
7,71,-1.5,1.0,
7,72,-1.0,1.5,
7,73,0.0,0.5,
7,74,-1.5,1.5,
7,75,-1.0,1.0,
7,76,-1.0,1.0,
7,77,0.0,0.5,
7,78,1.0,0.5,
7,79,1.5,1.25,
7,80,1.0,1.0,
7,81,-1.5,0.75,
7,82,1.0,0.5,
7,83,0.0,1.0,
7,84,-0.5,1.25,
7,85,-0.5,0.75,
7,86,-1.5,0.75,
7,87,1.5,1.25,
7,88,-0.5,1.0,
7,89,1.0,1.0,
7,90,0.5,1.0,
7,91,-0.5,0.5,
7,92,-1.0,1.25,
7,93,1.0,0.75,
7,94,1.0,0.5,
7,95,-1.0,1.0,
7,96,-1.5,1.25,
7,97,-0.5,0.75,
7,98,-1.5,1.25,
7,99,1.5,0.75,
7,100,1.5,1.0,
7,101,0.0,1.25,
7,102,1.5,0.5,
7,103,-1.5,1.5,
7,104,-0.5,1.5,
7,105,-1.0,1.0,
7,106,0.5,1.0,
7,107,0.5,1.25,
7,108,1.5,1.5,
7,109,-0.5,1.25,
7,110,1.0,0.5,
7,111,-1.5,1.25,
7,112,0.0,1.0,
7,113,-0.5,1.0,
7,114,1.0,0.5,
7,115,0.0,1.5,
7,116,-1.0,0.75,
7,117,1.0,0.75,
7,118,1.0,1.5,
7,119,1.0,1.25,
7,120,-0.5,1.0,
7,121,-1.0,0.5,
7,122,1.5,1.5,
7,123,1.5,1.5,
7,124,-1.5,1.0,
7,125,-1.5,0.75,
7,126,0.5,1.0,
7,127,-1.0,0.75,
7,128,-1.5,0.5,
7,129,-0.5,0.75,
7,130,-0.5,1.25,
7,131,0.0,1.5,
7,132,0.0,0.5,
7,133,-0.5,0.5,
7,134,-0.5,0.75,
7,135,0.0,0.5,
7,136,0.0,0.75,
7,137,-0.5,1.5,
7,138,0.5,1.0,
7,139,0.5,1.25,
7,140,-0.5,1.0,
7,141,1.5,1.0,
7,142,0.0,1.5,
7,143,1.5,0.5,
7,144,-1.0,0.5,
7,145,0.5,0.5,
7,146,-1.5,1.25,
7,147,1.0,1.0,
7,148,-1.0,0.5,
7,149,0.5,0.75,
7,150,1.5,0.5,
7,151,0.0,1.25,
7,152,0.5,1.5,
7,153,-1.5,0.75,
7,154,0.0,0.75,
7,155,0.5,0.75,
7,156,1.5,1.25,
7,157,-1.0,1.5,
7,158,1.5,0.75,
7,159,-0.5,0.75,
7,160,1.5,1.5,
7,161,0.0,0.75,
7,162,0.5,1.25,
7,163,-0.5,1.5,
7,164,-1.5,0.5,
7,165,-1.0,1.25,
7,166,0.5,1.5,
7,167,0.0,1.5,
7,168,0.0,1.5,
7,169,0.5,1.25,
7,170,1.0,1.5,
7,171,-0.5,1.25,
7,172,1.0,0.75,
7,173,0.5,0.5,
7,174,0.0,1.25,
