pid,trial,physicalVelocity,visualMultiplier,congruent
16,0,1.5,1.0,
16,1,0.0,1.5,
16,2,-0.5,1.5,
16,3,-0.5,1.0,
16,4,0.0,1.25,
16,5,0.0,0.5,
16,6,1.0,1.0,
16,7,1.0,1.5,
16,8,0.0,1.25,
16,9,-1.0,0.75,
16,10,-0.5,0.75,
16,11,0.0,0.5,
16,12,-1.0,1.0,
16,13,-1.0,0.5,
16,14,0.5,0.75,
16,15,-1.0,1.0,
16,16,1.5,1.5,
16,17,-0.5,0.75,
16,18,0.5,1.0,
16,19,0.0,1.25,
16,20,-1.5,0.75,
16,21,0.5,0.75,
16,22,1.5,1.5,
16,23,0.5,1.25,
16,24,1.0,0.75,
16,25,1.0,1.5,
16,26,1.5,1.0,
16,27,1.0,0.5,
16,28,0.0,0.5,
16,29,-1.0,1.0,
16,30,1.0,1.0,
16,31,-1.5,1.0,
16,32,0.5,1.5,
16,33,1.5,1.25,
16,34,-0.5,0.5,
16,35,-1.5,1.25,
16,36,0.0,0.5,
16,37,0.0,1.5,
16,38,-0.5,1.25,
16,39,1.5,1.25,
16,40,1.0,1.25,
16,41,-1.5,0.75,
16,42,0.5,1.25,
16,43,1.5,0.75,
16,44,1.5,0.5,
16,45,0.0,0.75,
16,46,-1.5,0.5,
16,47,0.5,0.5,
16,48,1.5,0.5,
16,49,0.5,1.0,
16,50,0.0,0.75,
16,51,1.0,0.75,
16,52,-0.5,0.5,
16,53,1.5,1.5,
16,54,-0.5,0.75,
16,55,1.5,0.5,
16,56,-1.0,0.75,
16,57,1.5,1.25,
16,58,1.0,0.75,
16,59,1.5,1.0,
16,60,-1.0,1.5,
16,61,-1.5,1.25,
16,62,1.5,1.0,
16,63,1.5,1.5,
16,64,1.0,1.5,
16,65,0.0,1.5,
16,66,0.0,0.75,
16,67,1.5,0.75,
16,68,-1.0,1.25,
16,69,1.5,1.0,
16,70,0.5,1.25,
16,71,-0.5,1.0,
16,72,-1.0,1.25,
16,73,-1.0,0.5,
16,74,0.5,0.5,
16,75,-1.5,1.25,
16,76,-1.0,1.0,
16,77,1.0,1.25,
16,78,0.5,1.0,
16,79,0.5,0.75,
16,80,-1.5,1.5,
16,81,0.5,0.75,
16,82,0.5,1.0,
16,83,-0.5,1.5,
16,84,0.0,0.75,
16,85,1.0,1.5,
16,86,-1.0,0.75,
16,87,0.5,1.0,
16,88,0.0,1.5,
16,89,0.0,0.5,
16,90,1.5,0.75,
16,91,0.5,1.25,
16,92,-0.5,1.0,
16,93,-1.0,1.5,
16,94,0.5,1.5,
16,95,-0.5,0.5,
16,96,-1.0,1.25,
16,97,-0.5,1.25,
16,98,-1.0,0.75,
16,99,-1.0,1.25,
16,100,-1.5,0.5,
16,101,0.0,1.0,
16,102,-1.5,1.5,
16,103,1.0,1.25,
16,104,0.0,0.75,
16,105,1.5,1.5,
16,106,-1.5,1.5,
16,107,0.0,1.5,
16,108,-0.5,0.5,
16,109,-0.5,1.5,
16,110,0.0,1.0,
16,111,-0.5,0.75,
16,112,0.5,0.5,
16,113,-0.5,1.25,
16,114,-0.5,1.0,
16,115,-0.5,1.0,
16,116,1.0,0.5,
16,117,-1.0,1.5,
16,118,1.0,1.0,
16,119,1.5,0.5,
16,120,-1.5,1.5,
16,121,-0.5,1.5,
16,122,0.5,1.5,
16,123,1.0,1.5,
16,124,-1.5,0.75,
16,125,0.0,1.25,
16,126,-1.5,0.75,
16,127,-0.5,1.25,
16,128,0.5,1.5,
16,129,-1.5,1.0,
16,130,1.5,0.75,
16,131,1.0,0.75,
16,132,1.5,0.5,
16,133,0.5,1.5,
16,134,0.0,1.0,
16,135,-1.5,1.0,
16,136,-1.0,0.5,
16,137,-1.0,1.25,
16,138,-1.0,1.5,
16,139,1.0,0.5,
16,140,1.0,0.5,
16,141,-1.5,1.5,
16,142,1.0,1.0,
16,143,-1.5,1.25,
16,144,1.0,0.75,
16,145,-1.0,0.5,
16,146,-1.5,0.5,
16,147,-1.5,0.5,
16,148,-1.5,0.75,
16,149,0.5,0.5,
16,150,0.5,0.75,
16,151,-0.5,0.75,
16,152,-1.5,1.0,
16,153,-1.0,0.75,
16,154,-1.5,1.0,
16,155,-1.0,1.5,
16,156,1.0,1.25,
16,157,0.0,1.0,
16,158,-1.5,1.25,
16,159,1.5,1.25,
16,160,1.5,0.75,
16,161,1.0,0.5,
16,162,-1.0,1.0,
16,163,-1.5,0.5,
16,164,0.0,1.25,
16,165,-1.0,0.5,
16,166,0.5,0.5,
16,167,0.0,1.0,
16,168,0.5,1.25,
16,169,1.0,1.0,
16,170,-0.5,0.5,
16,171,-0.5,1.5,
16,172,-0.5,1.25,
16,173,1.5,1.25,
16,174,1.0,1.25,
