pid,trial,visualSize,scenario,direction,congruency,time,distance
11,0,50,one-hand,shrink,1,1.353091,
11,1,44,one-hand,shrink,0,4.193013,
11,2,54,one-hand,shrink,1,0.9217231,
11,3,46,one-hand,shrink,1,4.930647,
11,4,54,one-hand,shrink,1,0.8245873,
11,5,58,one-hand,shrink,1,0.6709515,
11,6,44,one-hand,shrink,0,1.129972,
11,7,56,one-hand,shrink,1,17.75312,
11,8,52,one-hand,shrink,1,3.32895,
11,9,44,one-hand,shrink,1,5.167603,
11,10,54,one-hand,shrink,1,1.743208,
11,11,60,one-hand,shrink,0,2.007138,
11,12,50,one-hand,shrink,1,1.157513,
11,13,52,one-hand,shrink,1,2.244228,
11,14,46,one-hand,shrink,1,1.394817,
11,15,48,one-hand,shrink,1,0.6989969,
11,16,54,one-hand,shrink,1,0.7680393,
11,17,48,one-hand,shrink,1,2.146492,
11,18,60,one-hand,shrink,1,2.030859,
11,19,44,one-hand,shrink,1,1.269004,
11,20,56,one-hand,shrink,1,1.92479,
11,21,58,one-hand,shrink,1,0.9490806,
11,22,40,one-hand,shrink,0,1.520101,
11,23,40,one-hand,shrink,1,1.115996,
11,24,40,one-hand,shrink,1,0.7689013,
11,25,52,one-hand,shrink,1,0.6148646,
11,26,48,one-hand,shrink,1,0.8240253,
11,27,56,one-hand,shrink,1,2.675717,
11,28,48,one-hand,shrink,1,2.23037,
11,29,58,one-hand,shrink,1,0.9927762,
11,30,58,one-hand,shrink,1,1.33902,
11,31,42,one-hand,shrink,0,4.249378,
11,32,42,one-hand,shrink,1,2.578161,
11,33,46,one-hand,shrink,1,4.87507,
11,34,60,one-hand,shrink,1,3.109255,
11,35,54,one-hand,shrink,1,2.369109,
11,36,58,one-hand,shrink,1,2.70345,
11,37,44,one-hand,shrink,1,1.144664,
11,38,46,one-hand,shrink,0,1.784419,
11,39,52,one-hand,shrink,1,1.0885,
11,40,40,one-hand,shrink,1,1.296804,
11,41,50,one-hand,shrink,1,16.568,
11,42,50,one-hand,shrink,1,3.550944,
11,43,46,one-hand,shrink,1,1.572604,
11,44,56,one-hand,shrink,1,1.043856,
11,45,52,one-hand,shrink,1,1.809787,
11,46,60,one-hand,shrink,1,1.322153,
11,47,56,one-hand,shrink,1,1.225337,
11,48,42,one-hand,shrink,0,1.642886,
11,49,42,one-hand,shrink,0,1.976998,
11,50,48,one-hand,shrink,0,1.183498,
11,51,50,one-hand,shrink,1,1.489326,
11,52,42,one-hand,shrink,1,1.21099,
11,53,40,one-hand,shrink,1,1.824605,
11,54,60,one-hand,shrink,1,3.062959,
11,55,40,two-hand,shrink,0,3.146819,0.2144414
11,56,54,two-hand,shrink,0,3.703491,0.2461128
