pid,trial,shape,rendering,congruency
8,0,large,static,
8,1,small,fast,
8,2,concave,static,
8,3,concave,static,
8,4,slope,static,
8,5,slope,fast,
8,6,convex,fast,
8,7,medium,slow,
8,8,convex,slow,
8,9,large,slow,
8,10,concave,slow,
8,11,concave,static,
8,12,medium,static,
8,13,concave,fast,
8,14,small,fast,
8,15,concave,static,
8,16,medium,slow,
8,17,convex,static,
8,18,convex,static,
8,19,large,static,
8,20,large,static,
8,21,small,slow,
8,22,slope,fast,
8,23,medium,slow,
8,24,slope,slow,
8,25,convex,slow,
8,26,large,static,
8,27,convex,fast,
8,28,medium,static,
8,29,small,slow,
8,30,convex,fast,
8,31,convex,static,
8,32,slope,slow,
8,33,concave,slow,
8,34,small,slow,
8,35,small,fast,
8,36,convex,fast,
8,37,slope,fast,
8,38,convex,static,
8,39,slope,slow,
8,40,large,static,
8,41,concave,static,
8,42,small,static,
8,43,medium,fast,
8,44,slope,fast,
8,45,concave,slow,
8,46,medium,slow,
8,47,medium,static,
8,48,medium,slow,
8,49,concave,fast,
8,50,medium,static,
8,51,convex,slow,
8,52,large,slow,
8,53,concave,slow,
8,54,slope,static,
8,55,medium,fast,
8,56,small,slow,
8,57,small,static,
8,58,small,static,
8,59,large,fast,
8,60,slope,static,
8,61,medium,static,
8,62,large,slow,
8,63,small,static,
8,64,large,slow,
8,65,slope,slow,
8,66,large,slow,
8,67,concave,fast,
8,68,small,static,
8,69,concave,fast,
8,70,convex,slow,
8,71,concave,slow,
8,72,medium,fast,
8,73,medium,fast,
8,74,small,slow,
8,75,convex,fast,
8,76,large,fast,
8,77,small,fast,
8,78,convex,static,
8,79,convex,slow,
8,80,large,fast,
8,81,slope,static,
8,82,slope,slow,
8,83,slope,static,
8,84,concave,fast,
8,85,large,fast,
8,86,small,fast,
8,87,large,fast,
8,88,medium,fast,
8,89,slope,fast,
