Participant,Technique,FixedFactor,Threshold,Trial,RadiusChange,StepSize,Response,Reversal
1,onehand,visual,lower,1,,,,
1,onehand,visual,lower,2,,,,
1,onehand,visual,lower,3,,,,
1,onehand,visual,lower,4,,,,
1,onehand,visual,lower,5,,,,
1,onehand,visual,lower,6,,,,
1,onehand,visual,lower,7,,,,
1,onehand,visual,lower,8,,,,
1,onehand,visual,lower,9,,,,
1,onehand,visual,lower,10,,,,
1,onehand,visual,lower,11,,,,
1,onehand,visual,lower,12,,,,
1,onehand,visual,lower,13,,,,
1,onehand,visual,lower,14,,,,
1,onehand,visual,lower,15,,,,
1,onehand,visual,lower,16,,,,
1,onehand,visual,lower,17,,,,
1,onehand,visual,lower,18,,,,
1,onehand,visual,lower,19,,,,
1,onehand,visual,lower,20,,,,
1,onehand,visual,lower,21,,,,
1,onehand,visual,lower,22,,,,
1,onehand,visual,lower,23,,,,
1,onehand,visual,lower,24,,,,
1,onehand,visual,lower,25,,,,
1,onehand,visual,lower,26,,,,
1,onehand,visual,lower,27,,,,
1,onehand,visual,lower,28,,,,
1,onehand,visual,lower,29,,,,
1,onehand,visual,lower,30,,,,
1,onehand,visual,lower,31,,,,
1,onehand,visual,lower,32,,,,
1,onehand,visual,lower,33,,,,
1,onehand,visual,lower,34,,,,
1,onehand,visual,lower,35,,,,
1,onehand,visual,lower,36,,,,
1,onehand,visual,lower,37,,,,
1,onehand,visual,lower,38,,,,
1,onehand,visual,lower,39,,,,
1,onehand,visual,lower,40,,,,
1,onehand,visual,lower,41,,,,
1,onehand,visual,lower,42,,,,
1,onehand,visual,lower,43,,,,
1,onehand,visual,lower,44,,,,
1,onehand,visual,lower,45,,,,
1,onehand,visual,lower,46,,,,
1,onehand,visual,lower,47,,,,
1,onehand,visual,lower,48,,,,
1,onehand,visual,lower,49,,,,
1,onehand,visual,lower,50,,,,
1,twohand,physical,lower,1,,,,
1,twohand,physical,lower,2,,,,
1,twohand,physical,lower,3,,,,
1,twohand,physical,lower,4,,,,
1,twohand,physical,lower,5,,,,
1,twohand,physical,lower,6,,,,
1,twohand,physical,lower,7,,,,
1,twohand,physical,lower,8,,,,
