Participant,Technique,FixedFactor,Threshold,Trial,RadiusChange,StepSize,Response,Reversal
8,twohand,physical,upper,1,,,,
8,twohand,physical,upper,2,,,,
8,twohand,physical,upper,3,,,,
8,twohand,physical,upper,4,,,,
8,twohand,physical,upper,5,,,,
8,twohand,physical,upper,6,,,,
8,twohand,physical,upper,7,,,,
8,twohand,physical,upper,8,,,,
8,twohand,physical,upper,9,,,,
8,twohand,physical,upper,10,,,,
8,twohand,physical,upper,11,,,,
8,twohand,physical,upper,12,,,,
8,twohand,physical,upper,13,,,,
8,twohand,physical,upper,14,,,,
8,twohand,physical,upper,15,,,,
8,twohand,physical,upper,16,,,,
8,twohand,physical,upper,17,,,,
8,twohand,physical,upper,18,,,,
8,twohand,physical,upper,19,,,,
8,twohand,physical,upper,20,,,,
8,twohand,physical,upper,21,,,,
8,twohand,physical,upper,22,,,,
8,twohand,physical,upper,23,,,,
8,twohand,physical,upper,24,,,,
8,twohand,physical,upper,25,,,,
8,twohand,physical,upper,26,,,,
8,twohand,physical,upper,27,,,,
8,twohand,physical,upper,28,,,,
8,twohand,physical,upper,29,,,,
8,twohand,physical,upper,30,,,,
8,twohand,physical,upper,31,,,,
8,twohand,physical,upper,32,,,,
8,twohand,physical,upper,33,,,,
8,twohand,physical,upper,34,,,,
8,twohand,physical,upper,35,,,,
8,twohand,physical,upper,36,,,,
8,twohand,physical,upper,37,,,,
8,twohand,physical,upper,38,,,,
8,twohand,physical,upper,39,,,,
8,twohand,physical,upper,40,,,,
8,twohand,physical,upper,41,,,,
8,twohand,physical,upper,42,,,,
8,twohand,physical,upper,43,,,,
8,twohand,physical,upper,44,,,,
8,twohand,physical,upper,45,,,,
8,twohand,physical,upper,46,,,,
8,twohand,physical,upper,47,,,,
8,twohand,physical,upper,48,,,,
8,twohand,physical,upper,49,,,,
8,twohand,physical,upper,50,,,,
8,onehand,physical,lower,1,,,,
8,onehand,physical,lower,2,,,,
8,onehand,physical,lower,3,,,,
8,onehand,physical,lower,4,,,,
8,onehand,physical,lower,5,,,,
8,onehand,physical,lower,6,,,,
8,onehand,physical,lower,7,,,,
8,onehand,physical,lower,8,,,,
8,onehand,physical,lower,9,,,,
8,onehand,physical,lower,10,,,,
8,onehand,physical,lower,11,,,,
8,onehand,physical,lower,12,,,,
8,onehand,physical,lower,13,,,,
8,onehand,physical,lower,14,,,,
8,onehand,physical,lower,15,,,,
8,onehand,physical,lower,16,,,,
8,onehand,physical,lower,17,,,,
8,onehand,physical,lower,18,,,,
8,onehand,physical,lower,19,,,,
8,onehand,physical,lower,20,,,,
8,onehand,physical,lower,21,,,,
8,onehand,physical,lower,22,,,,
8,onehand,physical,lower,23,,,,
8,onehand,physical,lower,24,,,,
8,onehand,physical,lower,25,,,,
8,onehand,physical,lower,26,,,,
8,onehand,physical,lower,27,,,,
8,onehand,physical,lower,28,,,,
8,onehand,physical,lower,29,,,,
8,onehand,physical,lower,30,,,,
8,onehand,physical,lower,31,,,,
8,onehand,physical,lower,32,,,,
8,onehand,physical,lower,33,,,,
8,onehand,physical,lower,34,,,,
8,onehand,physical,lower,35,,,,
8,onehand,physical,lower,36,,,,
8,onehand,physical,lower,37,,,,
8,onehand,physical,lower,38,,,,
8,onehand,physical,lower,39,,,,
8,onehand,physical,lower,40,,,,
8,onehand,physical,lower,41,,,,
8,onehand,physical,lower,42,,,,
8,onehand,physical,lower,43,,,,
8,onehand,physical,lower,44,,,,
8,onehand,physical,lower,45,,,,
8,onehand,physical,lower,46,,,,
8,onehand,physical,lower,47,,,,
8,onehand,physical,lower,48,,,,
8,onehand,physical,lower,49,,,,
8,onehand,physical,lower,50,,,,
8,onehand,visual,lower,1,,,,
8,onehand,visual,lower,2,,,,
8,onehand,visual,lower,3,,,,
8,onehand,visual,lower,4,,,,
8,onehand,visual,lower,5,,,,
8,onehand,visual,lower,6,,,,
8,onehand,visual,lower,7,,,,
8,onehand,visual,lower,8,,,,
8,onehand,visual,lower,9,,,,
8,onehand,visual,lower,10,,,,
8,onehand,visual,lower,11,,,,
8,onehand,visual,lower,12,,,,
8,onehand,visual,lower,13,,,,
8,onehand,visual,lower,14,,,,
8,onehand,visual,lower,15,,,,
8,onehand,visual,lower,16,,,,
8,onehand,visual,lower,17,,,,
8,onehand,visual,lower,18,,,,
8,onehand,visual,lower,19,,,,
8,onehand,visual,lower,20,,,,
8,onehand,visual,lower,21,,,,
8,onehand,visual,lower,22,,,,
8,onehand,visual,lower,23,,,,
8,onehand,visual,lower,24,,,,
8,onehand,visual,lower,25,,,,
8,onehand,visual,lower,26,,,,
8,onehand,visual,lower,27,,,,
8,onehand,visual,lower,28,,,,
8,onehand,visual,lower,29,,,,
8,onehand,visual,lower,30,,,,
8,onehand,visual,lower,31,,,,
8,onehand,visual,lower,32,,,,
8,onehand,visual,lower,33,,,,
8,onehand,visual,lower,34,,,,
8,onehand,visual,lower,35,,,,
8,onehand,visual,lower,36,,,,
8,onehand,visual,lower,37,,,,
8,onehand,visual,lower,38,,,,
8,onehand,visual,lower,39,,,,
8,onehand,visual,lower,40,,,,
8,onehand,visual,lower,41,,,,
8,onehand,visual,lower,42,,,,
8,onehand,visual,lower,43,,,,
8,onehand,visual,lower,44,,,,
8,onehand,visual,lower,45,,,,
8,onehand,visual,lower,46,,,,
8,onehand,visual,lower,47,,,,
8,onehand,visual,lower,48,,,,
8,onehand,visual,lower,49,,,,
8,onehand,visual,lower,50,,,,
8,onehand,visual,upper,1,,,,
8,onehand,visual,upper,2,,,,
8,onehand,visual,upper,3,,,,
8,onehand,visual,upper,4,,,,
8,onehand,visual,upper,5,,,,
8,onehand,visual,upper,6,,,,
8,onehand,visual,upper,7,,,,
8,onehand,visual,upper,8,,,,
8,onehand,visual,upper,9,,,,
8,onehand,visual,upper,10,,,,
8,onehand,visual,upper,11,,,,
8,onehand,visual,upper,12,,,,
8,onehand,visual,upper,13,,,,
8,onehand,visual,upper,14,,,,
8,onehand,visual,upper,15,,,,
8,onehand,visual,upper,16,,,,
8,onehand,visual,upper,17,,,,
8,onehand,visual,upper,18,,,,
8,onehand,visual,upper,19,,,,
8,onehand,visual,upper,20,,,,
8,onehand,visual,upper,21,,,,
8,onehand,visual,upper,22,,,,
8,onehand,visual,upper,23,,,,
8,onehand,visual,upper,24,,,,
8,onehand,visual,upper,25,,,,
8,onehand,visual,upper,26,,,,
8,onehand,visual,upper,27,,,,
8,onehand,visual,upper,28,,,,
8,onehand,visual,upper,29,,,,
8,onehand,visual,upper,30,,,,
8,onehand,visual,upper,31,,,,
8,onehand,visual,upper,32,,,,
8,onehand,visual,upper,33,,,,
8,onehand,visual,upper,34,,,,
8,onehand,visual,upper,35,,,,
8,onehand,visual,upper,36,,,,
8,onehand,visual,upper,37,,,,
8,onehand,visual,upper,38,,,,
8,onehand,visual,upper,39,,,,
8,onehand,visual,upper,40,,,,
8,onehand,visual,upper,41,,,,
8,onehand,visual,upper,42,,,,
8,onehand,visual,upper,43,,,,
8,onehand,visual,upper,44,,,,
8,onehand,visual,upper,45,,,,
8,onehand,visual,upper,46,,,,
8,onehand,visual,upper,47,,,,
8,onehand,visual,upper,48,,,,
8,onehand,visual,upper,49,,,,
8,onehand,visual,upper,50,,,,
8,onehand,physical,upper,1,,,,
8,onehand,physical,upper,2,,,,
8,onehand,physical,upper,3,,,,
8,onehand,physical,upper,4,,,,
8,onehand,physical,upper,5,,,,
8,onehand,physical,upper,6,,,,
8,onehand,physical,upper,7,,,,
8,onehand,physical,upper,8,,,,
8,onehand,physical,upper,9,,,,
8,onehand,physical,upper,10,,,,
8,onehand,physical,upper,11,,,,
8,onehand,physical,upper,12,,,,
8,onehand,physical,upper,13,,,,
8,onehand,physical,upper,14,,,,
8,onehand,physical,upper,15,,,,
8,onehand,physical,upper,16,,,,
8,onehand,physical,upper,17,,,,
8,onehand,physical,upper,18,,,,
8,onehand,physical,upper,19,,,,
8,onehand,physical,upper,20,,,,
8,onehand,physical,upper,21,,,,
8,onehand,physical,upper,22,,,,
8,onehand,physical,upper,23,,,,
8,onehand,physical,upper,24,,,,
8,onehand,physical,upper,25,,,,
8,onehand,physical,upper,26,,,,
8,onehand,physical,upper,27,,,,
8,onehand,physical,upper,28,,,,
8,onehand,physical,upper,29,,,,
8,onehand,physical,upper,30,,,,
8,onehand,physical,upper,31,,,,
8,onehand,physical,upper,32,,,,
8,onehand,physical,upper,33,,,,
8,onehand,physical,upper,34,,,,
8,onehand,physical,upper,35,,,,
8,onehand,physical,upper,36,,,,
8,onehand,physical,upper,37,,,,
8,onehand,physical,upper,38,,,,
8,onehand,physical,upper,39,,,,
8,onehand,physical,upper,40,,,,
8,onehand,physical,upper,41,,,,
8,onehand,physical,upper,42,,,,
8,onehand,physical,upper,43,,,,
8,onehand,physical,upper,44,,,,
8,onehand,physical,upper,45,,,,
8,onehand,physical,upper,46,,,,
8,onehand,physical,upper,47,,,,
8,onehand,physical,upper,48,,,,
8,onehand,physical,upper,49,,,,
8,onehand,physical,upper,50,,,,
8,twohand,visual,lower,1,,,,
8,twohand,visual,lower,2,,,,
8,twohand,visual,lower,3,,,,
8,twohand,visual,lower,4,,,,
8,twohand,visual,lower,5,,,,
8,twohand,visual,lower,6,,,,
8,twohand,visual,lower,7,,,,
8,twohand,visual,lower,8,,,,
8,twohand,visual,lower,9,,,,
8,twohand,visual,lower,10,,,,
8,twohand,visual,lower,11,,,,
8,twohand,visual,lower,12,,,,
8,twohand,visual,lower,13,,,,
8,twohand,visual,lower,14,,,,
8,twohand,visual,lower,15,,,,
8,twohand,visual,lower,16,,,,
8,twohand,visual,lower,17,,,,
8,twohand,visual,lower,18,,,,
8,twohand,visual,lower,19,,,,
8,twohand,visual,lower,20,,,,
8,twohand,visual,lower,21,,,,
8,twohand,visual,lower,22,,,,
8,twohand,visual,lower,23,,,,
8,twohand,visual,lower,24,,,,
8,twohand,visual,lower,25,,,,
8,twohand,visual,lower,26,,,,
8,twohand,visual,lower,27,,,,
8,twohand,visual,lower,28,,,,
8,twohand,visual,lower,29,,,,
8,twohand,visual,lower,30,,,,
8,twohand,visual,lower,31,,,,
8,twohand,visual,lower,32,,,,
8,twohand,visual,lower,33,,,,
8,twohand,visual,lower,34,,,,
8,twohand,visual,lower,35,,,,
8,twohand,visual,lower,36,,,,
8,twohand,visual,lower,37,,,,
8,twohand,visual,lower,38,,,,
8,twohand,visual,lower,39,,,,
8,twohand,visual,lower,40,,,,
8,twohand,visual,lower,41,,,,
8,twohand,visual,lower,42,,,,
8,twohand,visual,lower,43,,,,
8,twohand,visual,lower,44,,,,
8,twohand,visual,lower,45,,,,
8,twohand,visual,lower,46,,,,
8,twohand,visual,lower,47,,,,
8,twohand,visual,lower,48,,,,
8,twohand,visual,lower,49,,,,
8,twohand,visual,lower,50,,,,
8,twohand,visual,upper,1,,,,
