Participant,Technique,FixedFactor,Threshold,Trial,RadiusChange,StepSize,Response,Reversal
12,onehand,visual,upper,1,,,,
12,onehand,visual,upper,2,,,,
12,onehand,visual,upper,3,,,,
12,onehand,visual,upper,4,,,,
12,onehand,visual,upper,5,,,,
12,onehand,visual,upper,6,,,,
12,onehand,visual,upper,7,,,,
12,onehand,visual,upper,8,,,,
12,onehand,visual,upper,9,,,,
12,onehand,visual,upper,10,,,,
12,onehand,visual,upper,11,,,,
12,onehand,visual,upper,12,,,,
12,onehand,visual,upper,13,,,,
12,onehand,visual,upper,14,,,,
12,onehand,visual,upper,15,,,,
12,onehand,visual,upper,16,,,,
12,onehand,visual,upper,17,,,,
12,onehand,visual,upper,18,,,,
12,onehand,visual,upper,19,,,,
12,onehand,visual,upper,20,,,,
12,onehand,visual,upper,21,,,,
12,onehand,visual,upper,22,,,,
12,onehand,visual,upper,23,,,,
12,onehand,visual,upper,24,,,,
12,onehand,visual,upper,25,,,,
12,onehand,visual,upper,26,,,,
12,onehand,visual,upper,27,,,,
12,onehand,visual,upper,28,,,,
12,onehand,visual,upper,29,,,,
12,onehand,visual,upper,30,,,,
12,onehand,visual,upper,31,,,,
12,onehand,visual,upper,32,,,,
12,onehand,visual,upper,33,,,,
12,onehand,visual,upper,34,,,,
12,onehand,visual,upper,35,,,,
12,onehand,visual,upper,36,,,,
12,onehand,visual,upper,37,,,,
12,onehand,visual,upper,38,,,,
12,onehand,visual,upper,39,,,,
12,onehand,visual,upper,40,,,,
12,onehand,visual,upper,41,,,,
12,onehand,visual,upper,42,,,,
12,onehand,visual,upper,43,,,,
12,onehand,visual,upper,44,,,,
12,onehand,visual,upper,45,,,,
12,onehand,visual,upper,46,,,,
12,onehand,visual,upper,47,,,,
12,onehand,visual,upper,48,,,,
12,onehand,visual,upper,49,,,,
12,onehand,visual,upper,50,,,,
12,twohand,physical,upper,1,,,,
12,twohand,physical,upper,2,,,,
12,twohand,physical,upper,3,,,,
12,twohand,physical,upper,4,,,,
12,twohand,physical,upper,5,,,,
12,twohand,physical,upper,6,,,,
12,twohand,physical,upper,7,,,,
12,twohand,physical,upper,8,,,,
12,twohand,physical,upper,9,,,,
12,twohand,physical,upper,10,,,,
12,twohand,physical,upper,11,,,,
12,twohand,physical,upper,12,,,,
12,twohand,physical,upper,13,,,,
12,twohand,physical,upper,14,,,,
12,twohand,physical,upper,15,,,,
12,twohand,physical,upper,16,,,,
12,twohand,physical,upper,17,,,,
12,twohand,physical,upper,18,,,,
12,twohand,physical,upper,19,,,,
12,twohand,physical,upper,20,,,,
12,twohand,physical,upper,21,,,,
12,twohand,physical,upper,22,,,,
12,twohand,physical,upper,23,,,,
12,twohand,physical,upper,24,,,,
12,twohand,physical,upper,25,,,,
12,twohand,physical,upper,26,,,,
12,twohand,physical,upper,27,,,,
12,twohand,physical,upper,28,,,,
12,twohand,physical,upper,29,,,,
12,twohand,physical,upper,30,,,,
12,twohand,physical,upper,31,,,,
12,twohand,physical,upper,32,,,,
12,twohand,physical,upper,33,,,,
12,twohand,physical,upper,34,,,,
12,twohand,physical,upper,35,,,,
12,twohand,physical,upper,36,,,,
12,twohand,physical,upper,37,,,,
12,twohand,physical,upper,38,,,,
12,twohand,physical,upper,39,,,,
12,twohand,physical,upper,40,,,,
12,twohand,physical,upper,41,,,,
12,twohand,physical,upper,42,,,,
12,twohand,physical,upper,43,,,,
12,twohand,physical,upper,44,,,,
12,twohand,physical,upper,45,,,,
12,twohand,physical,upper,46,,,,
12,twohand,physical,upper,47,,,,
12,twohand,physical,upper,48,,,,
12,twohand,physical,upper,49,,,,
12,twohand,physical,upper,50,,,,
12,twohand,visual,upper,1,,,,
12,twohand,visual,upper,2,,,,
12,twohand,visual,upper,3,,,,
12,twohand,visual,upper,4,,,,
12,twohand,visual,upper,5,,,,
12,twohand,visual,upper,6,,,,
12,twohand,visual,upper,7,,,,
12,twohand,visual,upper,8,,,,
12,twohand,visual,upper,9,,,,
12,twohand,visual,upper,10,,,,
12,twohand,visual,upper,11,,,,
12,twohand,visual,upper,12,,,,
12,twohand,visual,upper,13,,,,
12,twohand,visual,upper,14,,,,
12,twohand,visual,upper,15,,,,
12,twohand,visual,upper,16,,,,
12,twohand,visual,upper,17,,,,
12,twohand,visual,upper,18,,,,
12,twohand,visual,upper,19,,,,
12,twohand,visual,upper,20,,,,
12,twohand,visual,upper,21,,,,
12,twohand,visual,upper,22,,,,
12,twohand,visual,upper,23,,,,
12,twohand,visual,upper,24,,,,
12,twohand,visual,upper,25,,,,
12,twohand,visual,upper,26,,,,
12,twohand,visual,upper,27,,,,
12,twohand,visual,upper,28,,,,
12,twohand,visual,upper,29,,,,
12,twohand,visual,upper,30,,,,
12,twohand,visual,upper,31,,,,
12,twohand,visual,upper,32,,,,
12,twohand,visual,upper,33,,,,
12,twohand,visual,upper,34,,,,
12,twohand,visual,upper,35,,,,
12,twohand,visual,upper,36,,,,
12,twohand,visual,upper,37,,,,
12,twohand,visual,upper,38,,,,
12,twohand,visual,upper,39,,,,
12,twohand,visual,upper,40,,,,
12,twohand,visual,upper,41,,,,
12,twohand,visual,upper,42,,,,
12,twohand,visual,upper,43,,,,
12,twohand,visual,upper,44,,,,
12,twohand,visual,upper,45,,,,
12,twohand,visual,upper,46,,,,
12,twohand,visual,upper,47,,,,
12,twohand,visual,upper,48,,,,
12,twohand,visual,upper,49,,,,
12,twohand,visual,upper,50,,,,
12,onehand,visual,lower,1,,,,
12,onehand,visual,lower,2,,,,
12,onehand,visual,lower,3,,,,
12,onehand,visual,lower,4,,,,
12,onehand,visual,lower,5,,,,
12,onehand,visual,lower,6,,,,
12,onehand,visual,lower,7,,,,
12,onehand,visual,lower,8,,,,
12,onehand,visual,lower,9,,,,
12,onehand,visual,lower,10,,,,
12,onehand,visual,lower,11,,,,
12,onehand,visual,lower,12,,,,
12,onehand,visual,lower,13,,,,
12,onehand,visual,lower,14,,,,
12,onehand,visual,lower,15,,,,
12,onehand,visual,lower,16,,,,
12,onehand,visual,lower,17,,,,
12,onehand,visual,lower,18,,,,
12,onehand,visual,lower,19,,,,
12,onehand,visual,lower,20,,,,
12,onehand,visual,lower,21,,,,
12,onehand,visual,lower,22,,,,
12,onehand,visual,lower,23,,,,
12,onehand,visual,lower,24,,,,
12,onehand,visual,lower,25,,,,
12,onehand,visual,lower,26,,,,
12,onehand,visual,lower,27,,,,
12,onehand,visual,lower,28,,,,
12,onehand,visual,lower,29,,,,
12,onehand,visual,lower,30,,,,
12,onehand,visual,lower,31,,,,
12,onehand,visual,lower,32,,,,
12,onehand,visual,lower,33,,,,
12,onehand,visual,lower,34,,,,
12,onehand,visual,lower,35,,,,
12,onehand,visual,lower,36,,,,
12,onehand,visual,lower,37,,,,
12,onehand,visual,lower,38,,,,
12,onehand,visual,lower,39,,,,
12,onehand,visual,lower,40,,,,
12,onehand,visual,lower,41,,,,
12,onehand,visual,lower,42,,,,
12,onehand,visual,lower,43,,,,
12,onehand,visual,lower,44,,,,
12,onehand,visual,lower,45,,,,
12,onehand,visual,lower,46,,,,
12,onehand,visual,lower,47,,,,
12,onehand,visual,lower,48,,,,
12,onehand,visual,lower,49,,,,
12,onehand,visual,lower,50,,,,
