Participant,Technique,FixedFactor,Threshold,Trial,RadiusChange,StepSize,Response,Reversal
2,twohand,visual,lower,1,,,,
2,twohand,visual,lower,2,,,,
2,twohand,visual,lower,3,,,,
2,twohand,visual,lower,4,,,,
2,twohand,visual,lower,5,,,,
2,twohand,visual,lower,6,,,,
2,twohand,visual,lower,7,,,,
2,twohand,visual,lower,8,,,,
2,twohand,visual,lower,9,,,,
2,twohand,visual,lower,10,,,,
2,twohand,visual,lower,11,,,,
2,twohand,visual,lower,12,,,,
2,twohand,visual,lower,13,,,,
2,twohand,visual,lower,14,,,,
2,twohand,visual,lower,15,,,,
2,twohand,visual,lower,16,,,,
2,twohand,visual,lower,17,,,,
2,twohand,visual,lower,18,,,,
2,twohand,visual,lower,19,,,,
2,twohand,visual,lower,20,,,,
2,twohand,visual,lower,21,,,,
2,twohand,visual,lower,22,,,,
2,twohand,visual,lower,23,,,,
2,twohand,visual,lower,24,,,,
2,twohand,visual,lower,25,,,,
2,twohand,visual,lower,26,,,,
2,twohand,visual,lower,27,,,,
2,twohand,visual,lower,28,,,,
2,twohand,visual,lower,29,,,,
2,twohand,visual,lower,30,,,,
2,twohand,visual,lower,31,,,,
2,twohand,visual,lower,32,,,,
2,twohand,visual,lower,33,,,,
2,twohand,visual,lower,34,,,,
2,twohand,visual,lower,35,,,,
2,twohand,visual,lower,36,,,,
2,twohand,visual,lower,37,,,,
2,twohand,visual,lower,38,,,,
2,twohand,visual,lower,39,,,,
2,twohand,visual,lower,40,,,,
2,twohand,visual,lower,41,,,,
2,twohand,visual,lower,42,,,,
2,twohand,visual,lower,43,,,,
2,twohand,visual,lower,44,,,,
2,twohand,visual,lower,45,,,,
2,twohand,visual,lower,46,,,,
2,twohand,visual,lower,47,,,,
2,twohand,visual,lower,48,,,,
2,twohand,visual,lower,49,,,,
2,twohand,visual,lower,50,,,,
2,onehand,visual,upper,1,,,,
2,onehand,visual,upper,2,,,,
2,onehand,visual,upper,3,,,,
2,onehand,visual,upper,4,,,,
2,onehand,visual,upper,5,,,,
2,onehand,visual,upper,6,,,,
2,onehand,visual,upper,7,,,,
2,onehand,visual,upper,8,,,,
2,onehand,visual,upper,9,,,,
2,onehand,visual,upper,10,,,,
2,onehand,visual,upper,11,,,,
2,onehand,visual,upper,12,,,,
2,onehand,visual,upper,13,,,,
2,onehand,visual,upper,14,,,,
2,onehand,visual,upper,15,,,,
2,onehand,visual,upper,16,,,,
2,onehand,visual,upper,17,,,,
2,onehand,visual,upper,18,,,,
2,onehand,visual,upper,19,,,,
2,onehand,visual,upper,20,,,,
2,onehand,visual,upper,21,,,,
2,onehand,visual,upper,22,,,,
2,onehand,visual,upper,23,,,,
2,onehand,visual,upper,24,,,,
2,onehand,visual,upper,25,,,,
2,onehand,visual,upper,26,,,,
2,onehand,visual,upper,27,,,,
2,onehand,visual,upper,28,,,,
