Participant,Technique,FixedFactor,Threshold,Trial,RadiusChange,StepSize,Response,Reversal
9,twohand,visual,lower,1,,,,
9,twohand,visual,lower,2,,,,
9,twohand,visual,lower,3,,,,
9,twohand,visual,lower,4,,,,
9,twohand,visual,lower,5,,,,
9,twohand,visual,lower,6,,,,
9,twohand,visual,lower,7,,,,
9,twohand,visual,lower,8,,,,
9,twohand,visual,lower,9,,,,
9,twohand,visual,lower,10,,,,
9,twohand,visual,lower,11,,,,
9,twohand,visual,lower,12,,,,
9,twohand,visual,lower,13,,,,
9,twohand,visual,lower,14,,,,
9,twohand,visual,lower,15,,,,
9,twohand,visual,lower,16,,,,
9,twohand,visual,lower,17,,,,
9,twohand,visual,lower,18,,,,
9,twohand,visual,lower,19,,,,
9,twohand,visual,lower,20,,,,
9,twohand,visual,lower,21,,,,
9,twohand,visual,lower,22,,,,
9,twohand,visual,lower,23,,,,
9,twohand,visual,lower,24,,,,
9,twohand,visual,lower,25,,,,
9,twohand,visual,lower,26,,,,
9,twohand,visual,lower,27,,,,
9,twohand,visual,lower,28,,,,
9,twohand,visual,lower,29,,,,
9,twohand,visual,lower,30,,,,
9,twohand,visual,lower,31,,,,
9,twohand,visual,lower,32,,,,
9,twohand,visual,lower,33,,,,
9,twohand,visual,lower,34,,,,
9,twohand,visual,lower,35,,,,
9,twohand,visual,lower,36,,,,
9,twohand,visual,lower,37,,,,
9,twohand,visual,lower,38,,,,
9,twohand,visual,lower,39,,,,
9,twohand,visual,lower,40,,,,
9,twohand,visual,lower,41,,,,
9,twohand,visual,lower,42,,,,
9,twohand,visual,lower,43,,,,
9,twohand,visual,lower,44,,,,
9,twohand,visual,lower,45,,,,
9,twohand,visual,lower,46,,,,
9,twohand,visual,lower,47,,,,
9,twohand,visual,lower,48,,,,
9,twohand,visual,lower,49,,,,
9,twohand,visual,lower,50,,,,
9,twohand,visual,upper,1,,,,
9,twohand,visual,upper,2,,,,
9,twohand,visual,upper,3,,,,
9,twohand,visual,upper,4,,,,
9,twohand,visual,upper,5,,,,
9,twohand,visual,upper,6,,,,
9,twohand,visual,upper,7,,,,
9,twohand,visual,upper,8,,,,
9,twohand,visual,upper,9,,,,
9,twohand,visual,upper,10,,,,
9,twohand,visual,upper,11,,,,
9,twohand,visual,upper,12,,,,
9,twohand,visual,upper,13,,,,
9,twohand,visual,upper,14,,,,
9,twohand,visual,upper,15,,,,
9,twohand,visual,upper,16,,,,
9,twohand,visual,upper,17,,,,
9,twohand,visual,upper,18,,,,
9,twohand,visual,upper,19,,,,
9,twohand,visual,upper,20,,,,
9,twohand,visual,upper,21,,,,
9,twohand,visual,upper,22,,,,
9,twohand,visual,upper,23,,,,
9,twohand,visual,upper,24,,,,
9,twohand,visual,upper,25,,,,
9,twohand,visual,upper,26,,,,
9,twohand,visual,upper,27,,,,
9,twohand,visual,upper,28,,,,
9,twohand,visual,upper,29,,,,
9,twohand,visual,upper,30,,,,
9,twohand,visual,upper,31,,,,
9,twohand,visual,upper,32,,,,
9,twohand,visual,upper,33,,,,
9,twohand,visual,upper,34,,,,
9,twohand,visual,upper,35,,,,
9,twohand,visual,upper,36,,,,
9,twohand,visual,upper,37,,,,
9,twohand,visual,upper,38,,,,
9,twohand,visual,upper,39,,,,
9,twohand,visual,upper,40,,,,
9,twohand,visual,upper,41,,,,
9,twohand,visual,upper,42,,,,
9,twohand,visual,upper,43,,,,
9,twohand,visual,upper,44,,,,
9,twohand,visual,upper,45,,,,
9,twohand,visual,upper,46,,,,
9,twohand,visual,upper,47,,,,
9,twohand,visual,upper,48,,,,
9,twohand,visual,upper,49,,,,
9,twohand,visual,upper,50,,,,
9,onehand,visual,lower,1,,,,
9,onehand,visual,lower,2,,,,
9,onehand,visual,lower,3,,,,
9,onehand,visual,lower,4,,,,
9,onehand,visual,lower,5,,,,
9,onehand,visual,lower,6,,,,
9,onehand,visual,lower,7,,,,
9,onehand,visual,lower,8,,,,
9,onehand,visual,lower,9,,,,
9,onehand,visual,lower,10,,,,
9,onehand,visual,lower,11,,,,
9,onehand,visual,lower,12,,,,
9,onehand,visual,lower,13,,,,
9,onehand,visual,lower,14,,,,
9,onehand,visual,lower,15,,,,
9,onehand,visual,lower,16,,,,
9,onehand,visual,lower,17,,,,
9,onehand,visual,lower,18,,,,
9,onehand,visual,lower,19,,,,
9,onehand,visual,lower,20,,,,
9,onehand,visual,lower,21,,,,
9,onehand,visual,lower,22,,,,
9,onehand,visual,lower,23,,,,
9,onehand,visual,lower,24,,,,
9,onehand,visual,lower,25,,,,
9,onehand,visual,lower,26,,,,
9,onehand,visual,lower,27,,,,
9,onehand,visual,lower,28,,,,
9,onehand,visual,lower,29,,,,
9,onehand,visual,lower,30,,,,
9,onehand,visual,lower,31,,,,
9,onehand,visual,lower,32,,,,
9,onehand,visual,lower,33,,,,
9,onehand,visual,lower,34,,,,
9,onehand,visual,lower,35,,,,
9,onehand,visual,lower,36,,,,
9,onehand,visual,lower,37,,,,
9,onehand,visual,lower,38,,,,
9,onehand,visual,lower,39,,,,
9,onehand,visual,lower,40,,,,
9,onehand,visual,lower,41,,,,
9,onehand,visual,lower,42,,,,
9,onehand,visual,lower,43,,,,
9,onehand,visual,lower,44,,,,
9,onehand,visual,lower,45,,,,
9,onehand,visual,lower,46,,,,
9,onehand,visual,lower,47,,,,
9,onehand,visual,lower,48,,,,
9,onehand,visual,lower,49,,,,
9,onehand,visual,lower,50,,,,
9,twohand,physical,upper,1,,,,
9,twohand,physical,upper,2,,,,
9,twohand,physical,upper,3,,,,
