pid,trial,physical,visual,direction,congruency,binary
12,0,40,25,shrink,1,
12,1,40,25,shrink,1,
12,2,40,50,shrink,1,
12,3,20,400,shrink,0,
12,4,20,75,shrink,1,
12,5,40,100,shrink,1,
12,6,20,50,shrink,1,
12,7,30,25,shrink,1,
12,8,30,50,shrink,1,
12,9,30,200,shrink,0,
12,10,20,200,shrink,0,
12,11,10,75,shrink,1,
12,12,20,400,shrink,0,
12,13,30,300,shrink,0,
12,14,10,25,shrink,0,
12,15,40,100,shrink,1,
12,16,20,75,shrink,1,
12,17,40,400,shrink,0,
12,18,20,75,shrink,1,
12,19,30,50,shrink,0,
12,20,40,100,shrink,1,
12,21,10,100,shrink,1,
12,22,20,50,shrink,1,
12,23,40,50,shrink,0,
12,24,30,300,shrink,0,
12,25,40,75,shrink,0,
12,26,40,100,shrink,1,
12,27,40,200,shrink,0,
12,28,30,25,shrink,1,
12,29,20,300,shrink,0,
12,30,30,75,shrink,1,
12,31,40,400,shrink,0,
12,32,30,100,shrink,1,
12,33,30,50,shrink,1,
12,34,30,400,shrink,0,
12,35,40,100,shrink,1,
12,36,20,75,shrink,1,
12,37,10,400,shrink,0,
12,38,40,25,shrink,0,
12,39,10,100,shrink,1,
12,40,40,75,shrink,1,
12,41,20,25,shrink,0,
12,42,20,100,shrink,1,
12,43,10,300,shrink,0,
12,44,20,200,shrink,0,
12,45,40,300,shrink,0,
12,46,40,300,shrink,0,
12,47,10,400,shrink,0,
12,48,20,50,shrink,1,
12,49,40,75,shrink,1,
12,50,10,200,shrink,0,
12,51,40,200,shrink,0,
12,52,10,75,shrink,1,
12,53,10,50,shrink,1,
12,54,10,300,shrink,0,
12,55,30,200,shrink,0,
12,56,20,100,shrink,0,
12,57,40,300,shrink,0,
12,58,20,25,shrink,1,
12,59,20,300,shrink,0,
12,60,20,100,shrink,0,
12,61,30,200,shrink,0,
12,62,20,300,shrink,0,
12,63,20,400,shrink,0,
12,64,30,50,shrink,1,
12,65,10,200,shrink,0,
12,66,40,400,shrink,0,
12,67,10,100,shrink,0,
12,68,10,200,shrink,0,
12,69,10,75,shrink,1,
12,70,40,300,shrink,0,
12,71,40,75,shrink,1,
12,72,30,300,shrink,0,
12,73,30,25,shrink,1,
12,74,30,200,shrink,0,
12,75,30,75,shrink,1,
12,76,30,25,shrink,1,
12,77,20,300,shrink,0,
12,78,30,75,shrink,1,
12,79,20,100,shrink,1,
12,80,30,100,shrink,1,
12,81,40,50,shrink,1,
12,82,20,100,shrink,1,
12,83,40,400,shrink,0,
12,84,30,100,shrink,1,
12,85,20,50,shrink,1,
12,86,20,300,shrink,0,
12,87,20,50,shrink,1,
12,88,30,100,shrink,1,
12,89,20,25,shrink,1,
12,90,40,50,shrink,1,
12,91,10,50,shrink,1,
12,92,30,25,shrink,1,
12,93,10,25,shrink,1,
12,94,10,200,shrink,0,
12,95,20,200,shrink,0,
