pid,trial,shape,rendering,congruency
4,0,convex,static,
4,1,medium,slow,
4,2,medium,slow,
4,3,concave,fast,
4,4,small,static,
4,5,slope,static,
4,6,small,fast,
4,7,convex,slow,
4,8,convex,static,
4,9,concave,slow,
4,10,small,fast,
4,11,small,fast,
4,12,medium,static,
4,13,convex,slow,
4,14,slope,static,
4,15,slope,fast,
4,16,concave,static,
4,17,concave,fast,
4,18,medium,static,
4,19,large,slow,
4,20,small,fast,
4,21,medium,static,
4,22,medium,fast,
4,23,large,static,
4,24,convex,slow,
4,25,small,static,
4,26,convex,fast,
4,27,large,slow,
4,28,medium,fast,
4,29,large,fast,
4,30,large,fast,
4,31,small,slow,
4,32,concave,fast,
4,33,medium,static,
4,34,concave,fast,
4,35,concave,static,
4,36,small,fast,
4,37,convex,static,
4,38,concave,static,
4,39,medium,static,
4,40,convex,fast,
4,41,medium,slow,
4,42,slope,fast,
4,43,small,static,
4,44,large,static,
4,45,convex,fast,
4,46,large,static,
4,47,slope,fast,
4,48,small,slow,
4,49,slope,static,
4,50,medium,slow,
4,51,slope,slow,
4,52,slope,static,
4,53,large,fast,
4,54,large,fast,
4,55,convex,static,
4,56,small,slow,
4,57,concave,fast,
4,58,large,static,
4,59,concave,static,
4,60,small,static,
4,61,large,slow,
4,62,large,slow,
4,63,concave,slow,
4,64,medium,fast,
4,65,medium,fast,
4,66,concave,slow,
4,67,slope,slow,
4,68,slope,slow,
4,69,medium,slow,
4,70,convex,fast,
4,71,convex,static,
4,72,large,static,
4,73,slope,slow,
4,74,small,slow,
4,75,convex,fast,
4,76,slope,static,
4,77,slope,fast,
4,78,concave,slow,
4,79,small,slow,
4,80,concave,static,
4,81,large,fast,
4,82,slope,slow,
4,83,large,slow,
4,84,slope,fast,
4,85,medium,fast,
4,86,concave,slow,
4,87,convex,slow,
4,88,small,static,
4,89,convex,slow,
