pid,trial,physicalSpeed,visualSpeed,congruent
11,0,1.5,1.0,
11,1,-1.0,0.75,
11,2,1.5,0.5,
11,3,0.5,1.0,
11,4,-1.5,1.5,
11,5,1.0,1.5,
11,6,1.0,1.25,
11,7,-1.5,1.25,
11,8,-1.0,1.0,
11,9,-0.5,0.75,
11,10,-1.5,1.25,
11,11,0.0,1.5,
11,12,-1.5,0.75,
11,13,0.5,0.75,
11,14,1.0,0.5,
11,15,0.0,0.75,
11,16,1.5,0.5,
11,17,0.5,0.75,
11,18,-0.5,0.5,
11,19,1.0,1.5,
11,20,1.0,1.0,
11,21,-1.5,0.75,
11,22,0.5,1.25,
11,23,-1.5,0.75,
11,24,1.5,1.25,
11,25,1.5,1.5,
11,26,-0.5,1.0,
11,27,-1.5,0.5,
11,28,-1.5,0.5,
11,29,-1.0,0.5,
11,30,0.0,1.5,
11,31,1.5,1.5,
11,32,-1.0,0.75,
11,33,-0.5,1.0,
11,34,0.5,1.0,
11,35,-1.5,1.25,
11,36,-1.5,1.25,
11,37,-0.5,1.5,
11,38,1.0,1.5,
11,39,-1.0,0.75,
11,40,-1.5,0.75,
11,41,-1.0,1.5,
11,42,1.5,1.0,
11,43,1.5,1.25,
11,44,-0.5,1.5,
11,45,0.5,0.75,
11,46,1.0,0.75,
11,47,0.0,1.5,
11,48,-1.0,1.25,
11,49,1.0,0.5,
11,50,1.5,1.0,
11,51,1.5,1.25,
11,52,1.0,1.0,
11,53,1.5,1.5,
11,54,0.5,0.5,
11,55,0.0,1.25,
11,56,1.0,1.5,
11,57,-1.5,1.5,
11,58,1.0,1.25,
11,59,0.5,1.25,
11,60,0.5,1.5,
11,61,-0.5,1.25,
11,62,1.0,0.5,
11,63,-1.0,1.0,
11,64,1.0,1.0,
11,65,-1.0,1.25,
11,66,0.0,1.0,
11,67,-1.5,0.5,
11,68,0.5,1.5,
11,69,1.0,1.0,
11,70,1.5,0.75,
11,71,0.0,1.5,
11,72,-1.0,1.25,
11,73,1.5,1.0,
11,74,-0.5,1.25,
11,75,1.0,0.5,
11,76,1.5,1.0,
11,77,0.5,0.5,
11,78,-1.0,1.0,
11,79,-1.0,0.5,
11,80,-0.5,0.75,
11,81,-0.5,0.5,
11,82,-0.5,0.75,
11,83,0.0,1.0,
11,84,1.5,1.25,
11,85,0.0,1.0,
11,86,-1.5,1.0,
11,87,-1.5,1.25,
11,88,0.5,0.75,
11,89,-1.5,1.5,
11,90,-0.5,1.25,
11,91,-0.5,1.5,
11,92,0.0,1.25,
11,93,0.0,1.5,
11,94,1.5,1.25,
11,95,0.0,0.75,
11,96,0.5,1.25,
11,97,0.5,1.25,
11,98,0.0,0.5,
11,99,-0.5,0.75,
11,100,-1.5,0.5,
11,101,-1.0,1.25,
11,102,0.5,0.75,
11,103,1.0,0.75,
11,104,-1.5,1.5,
11,105,1.0,1.25,
11,106,1.5,0.5,
11,107,-1.5,1.5,
11,108,-0.5,1.5,
11,109,0.5,1.0,
11,110,-0.5,0.5,
11,111,0.0,0.75,
11,112,-1.0,1.0,
11,113,1.5,0.75,
11,114,1.0,0.75,
11,115,1.5,0.75,
11,116,0.5,1.5,
11,117,0.5,1.0,
11,118,-1.0,0.5,
11,119,1.0,1.0,
11,120,1.0,0.75,
11,121,1.5,1.5,
11,122,-1.5,1.0,
11,123,-1.0,0.5,
11,124,-0.5,0.5,
11,125,0.0,1.25,
11,126,0.5,0.5,
11,127,-0.5,1.0,
11,128,0.5,0.5,
11,129,0.0,0.75,
11,130,-1.0,0.75,
11,131,0.5,1.25,
11,132,-0.5,1.0,
11,133,-1.0,1.5,
11,134,-0.5,0.5,
11,135,-1.0,0.5,
11,136,1.5,0.75,
11,137,-1.5,1.0,
11,138,-1.0,1.0,
11,139,0.0,1.25,
11,140,0.0,0.5,
11,141,-1.0,1.25,
11,142,0.0,0.5,
11,143,-1.0,1.5,
11,144,0.5,1.5,
11,145,1.0,1.25,
11,146,1.0,0.75,
11,147,-1.0,1.5,
11,148,0.0,1.25,
11,149,1.5,0.75,
11,150,-1.0,0.75,
11,151,-1.0,1.5,
11,152,0.5,1.5,
11,153,-0.5,1.0,
11,154,1.5,0.5,
11,155,0.5,0.5,
11,156,-1.5,0.5,
11,157,-1.5,0.75,
11,158,0.0,1.0,
11,159,1.5,1.5,
11,160,1.0,1.5,
11,161,0.0,0.5,
11,162,-1.5,1.0,
11,163,1.5,0.5,
11,164,-0.5,1.25,
11,165,0.0,0.5,
11,166,-0.5,1.5,
11,167,-0.5,0.75,
11,168,0.0,0.75,
11,169,1.0,1.25,
11,170,-0.5,1.25,
11,171,-1.5,1.0,
11,172,0.5,1.0,
11,173,1.0,0.5,
11,174,0.0,1.0,
