pid,trial,shape,rendering,congruency
2,0,medium,static,
2,1,small,static,
2,2,large,fast,
2,3,concave,slow,
2,4,concave,fast,
2,5,concave,slow,
2,6,medium,fast,
2,7,convex,fast,
2,8,medium,static,
2,9,convex,slow,
2,10,medium,fast,
2,11,small,slow,
2,12,convex,slow,
2,13,small,static,
2,14,small,fast,
2,15,medium,fast,
2,16,small,slow,
2,17,medium,fast,
2,18,concave,slow,
2,19,small,slow,
2,20,slope,static,
2,21,convex,fast,
2,22,concave,static,
2,23,convex,fast,
2,24,slope,slow,
2,25,small,fast,
2,26,slope,static,
2,27,medium,slow,
2,28,concave,fast,
2,29,slope,slow,
2,30,concave,static,
2,31,convex,slow,
2,32,concave,fast,
2,33,medium,fast,
2,34,medium,static,
2,35,slope,fast,
2,36,convex,static,
2,37,concave,fast,
2,38,large,fast,
2,39,slope,fast,
2,40,slope,slow,
2,41,slope,static,
2,42,small,static,
2,43,large,static,
2,44,small,fast,
2,45,large,slow,
2,46,convex,static,
2,47,large,static,
2,48,convex,static,
2,49,convex,fast,
2,50,small,fast,
2,51,small,static,
2,52,convex,slow,
2,53,slope,fast,
2,54,convex,slow,
2,55,small,fast,
2,56,medium,slow,
2,57,medium,slow,
2,58,large,static,
2,59,medium,slow,
2,60,small,static,
2,61,slope,slow,
2,62,large,fast,
2,63,convex,fast,
2,64,large,slow,
2,65,medium,static,
2,66,concave,fast,
2,67,slope,slow,
2,68,concave,slow,
2,69,medium,static,
2,70,medium,slow,
2,71,large,slow,
2,72,large,fast,
2,73,convex,static,
2,74,slope,fast,
2,75,slope,fast,
2,76,convex,static,
2,77,large,static,
2,78,large,static,
2,79,large,fast,
2,80,concave,static,
2,81,concave,slow,
2,82,small,slow,
2,83,slope,static,
2,84,large,slow,
2,85,large,slow,
2,86,small,slow,
2,87,concave,static,
2,88,slope,static,
2,89,concave,static,
