pid,trial,physical,visual,rendering,scenario,congruency
3,0,60,200,static,two-hand,
3,1,80,200,static,two-hand,
3,2,80,50,dynamic,two-hand,
3,3,80,200,static,two-hand,
3,4,60,150,dynamic,two-hand,
3,5,60,75,dynamic,two-hand,
3,6,60,50,dynamic,two-hand,
3,7,80,75,dynamic,two-hand,
3,8,60,75,static,two-hand,
3,9,80,200,dynamic,two-hand,
3,10,80,100,static,two-hand,
3,11,60,200,static,two-hand,
3,12,80,100,dynamic,two-hand,
3,13,80,100,dynamic,two-hand,
3,14,80,100,dynamic,two-hand,
3,15,80,75,dynamic,two-hand,
3,16,60,200,static,two-hand,
3,17,80,200,static,two-hand,
3,18,80,50,static,two-hand,
3,19,60,75,static,two-hand,
3,20,80,50,static,two-hand,
3,21,80,100,dynamic,two-hand,
3,22,80,50,static,two-hand,
3,23,60,200,dynamic,two-hand,
3,24,80,150,static,two-hand,
3,25,60,100,static,two-hand,
3,26,60,50,static,two-hand,
3,27,60,50,dynamic,two-hand,
3,28,80,150,static,two-hand,
3,29,80,150,dynamic,two-hand,
3,30,80,200,dynamic,two-hand,
3,31,60,100,static,two-hand,
3,32,60,50,static,two-hand,
3,33,80,75,dynamic,two-hand,
3,34,60,150,dynamic,two-hand,
3,35,80,75,dynamic,two-hand,
3,36,60,150,dynamic,two-hand,
3,37,60,100,dynamic,two-hand,
3,38,80,150,static,two-hand,
3,39,60,100,dynamic,two-hand,
3,40,80,100,static,two-hand,
3,41,80,200,static,two-hand,
3,42,80,100,static,two-hand,
3,43,60,50,static,two-hand,
3,44,80,150,dynamic,two-hand,
3,45,60,100,dynamic,two-hand,
3,46,80,75,static,two-hand,
3,47,80,100,static,two-hand,
3,48,60,150,static,two-hand,
3,49,80,75,static,two-hand,
3,50,60,75,dynamic,two-hand,
3,51,60,150,dynamic,two-hand,
3,52,60,200,dynamic,two-hand,
3,53,60,50,dynamic,two-hand,
3,54,60,75,static,two-hand,
3,55,60,50,static,two-hand,
3,56,80,150,dynamic,two-hand,
3,57,80,150,dynamic,two-hand,
3,58,80,50,dynamic,two-hand,
3,59,80,100,dynamic,two-hand,
3,60,80,200,dynamic,two-hand,
3,61,80,200,dynamic,two-hand,
3,62,60,200,dynamic,two-hand,
3,63,60,100,dynamic,two-hand,
3,64,80,150,static,two-hand,
3,65,80,50,static,two-hand,
3,66,60,150,static,two-hand,
3,67,80,50,static,two-hand,
3,68,80,150,dynamic,two-hand,
3,69,80,50,dynamic,two-hand,
3,70,60,100,dynamic,two-hand,
3,71,80,75,dynamic,two-hand,
3,72,60,100,static,two-hand,
3,73,60,100,static,two-hand,
3,74,60,200,dynamic,two-hand,
3,75,80,100,static,two-hand,
3,76,60,200,dynamic,two-hand,
3,77,60,50,dynamic,two-hand,
3,78,60,100,static,two-hand,
3,79,60,150,static,two-hand,
3,80,80,200,static,two-hand,
3,81,60,200,static,two-hand,
3,82,80,75,static,two-hand,
3,83,60,50,static,two-hand,
3,84,60,75,static,two-hand,
3,85,60,150,static,two-hand,
3,86,80,75,static,two-hand,
3,87,60,75,dynamic,two-hand,
3,88,60,75,static,two-hand,
3,89,60,75,dynamic,two-hand,
3,90,60,50,dynamic,two-hand,
3,91,80,75,static,two-hand,
3,92,80,200,dynamic,two-hand,
3,93,60,150,static,two-hand,
3,94,80,150,static,two-hand,
3,95,60,200,static,two-hand,
3,96,60,75,dynamic,two-hand,
3,97,80,50,dynamic,two-hand,
3,98,80,50,dynamic,two-hand,
3,99,60,150,dynamic,two-hand,
3,100,60,200,static,one-hand,
3,101,80,150,dynamic,one-hand,
3,102,60,100,static,one-hand,
3,103,80,75,dynamic,one-hand,
3,104,80,50,dynamic,one-hand,
3,105,80,100,static,one-hand,
3,106,80,150,dynamic,one-hand,
3,107,60,150,dynamic,one-hand,
3,108,80,200,dynamic,one-hand,
3,109,80,75,dynamic,one-hand,
3,110,60,100,dynamic,one-hand,
3,111,60,75,dynamic,one-hand,
3,112,60,150,static,one-hand,
3,113,60,75,static,one-hand,
3,114,60,200,dynamic,one-hand,
3,115,60,50,dynamic,one-hand,
3,116,60,150,dynamic,one-hand,
3,117,80,75,dynamic,one-hand,
3,118,60,50,dynamic,one-hand,
3,119,60,200,static,one-hand,
3,120,80,75,dynamic,one-hand,
3,121,60,75,static,one-hand,
3,122,60,150,static,one-hand,
3,123,60,50,dynamic,one-hand,
3,124,80,150,static,one-hand,
3,125,60,200,static,one-hand,
3,126,80,100,dynamic,one-hand,
3,127,60,150,dynamic,one-hand,
3,128,60,200,static,one-hand,
3,129,60,50,static,one-hand,
3,130,60,150,dynamic,one-hand,
3,131,60,100,dynamic,one-hand,
3,132,60,150,static,one-hand,
3,133,60,200,dynamic,one-hand,
3,134,60,50,static,one-hand,
3,135,80,150,static,one-hand,
3,136,60,75,static,one-hand,
3,137,80,100,static,one-hand,
3,138,80,150,static,one-hand,
3,139,80,50,static,one-hand,
3,140,80,150,dynamic,one-hand,
3,141,80,200,dynamic,one-hand,
3,142,80,100,dynamic,one-hand,
3,143,60,75,static,one-hand,
3,144,60,100,static,one-hand,
3,145,80,150,static,one-hand,
3,146,60,50,dynamic,one-hand,
3,147,80,150,dynamic,one-hand,
3,148,80,75,static,one-hand,
3,149,80,200,static,one-hand,
3,150,60,50,dynamic,one-hand,
3,151,80,100,dynamic,one-hand,
3,152,80,50,dynamic,one-hand,
3,153,60,75,static,one-hand,
3,154,80,50,static,one-hand,
3,155,60,75,dynamic,one-hand,
3,156,60,100,static,one-hand,
3,157,60,75,dynamic,one-hand,
3,158,60,100,dynamic,one-hand,
3,159,80,50,dynamic,one-hand,
3,160,80,200,static,one-hand,
3,161,80,75,static,one-hand,
3,162,60,200,static,one-hand,
3,163,80,75,static,one-hand,
3,164,80,100,static,one-hand,
3,165,80,200,static,one-hand,
3,166,80,50,dynamic,one-hand,
3,167,80,200,dynamic,one-hand,
3,168,60,75,dynamic,one-hand,
3,169,80,75,dynamic,one-hand,
3,170,80,200,dynamic,one-hand,
3,171,60,100,dynamic,one-hand,
3,172,80,200,dynamic,one-hand,
3,173,80,150,static,one-hand,
3,174,60,200,dynamic,one-hand,
3,175,60,50,static,one-hand,
3,176,80,50,dynamic,one-hand,
3,177,80,75,static,one-hand,
3,178,60,100,static,one-hand,
3,179,80,50,static,one-hand,
3,180,60,75,dynamic,one-hand,
3,181,60,150,dynamic,one-hand,
3,182,80,50,static,one-hand,
3,183,80,200,static,one-hand,
3,184,60,100,dynamic,one-hand,
3,185,60,100,static,one-hand,
3,186,80,100,dynamic,one-hand,
3,187,60,50,static,one-hand,
3,188,60,50,static,one-hand,
3,189,80,200,static,one-hand,
3,190,60,150,static,one-hand,
3,191,60,200,dynamic,one-hand,
3,192,80,75,static,one-hand,
3,193,80,150,dynamic,one-hand,
3,194,80,100,static,one-hand,
3,195,80,100,dynamic,one-hand,
3,196,60,200,dynamic,one-hand,
3,197,60,150,static,one-hand,
3,198,80,100,static,one-hand,
3,199,80,50,static,one-hand,
